Player,09/11vs. TEN,09/18vs. NYJ,09/25vs. CAR,10/02vs. NOR,10/09vs. CIN,10/16vs. PIT,10/24vs. BAL,10/30vs. HOU,11/13vs. IND,11/20vs. CLE,11/27vs. HOU,12/05vs. SDG,12/11vs. TAM,12/15vs. ATL,12/24vs. TEN,01/01vs. IND
Tyson Alualu,,P,P,P,P,P,P,,,,,,,,,
Kevin Bentley,,,,,,,,,,,,P,,,,
Brock Bolen,,,,,,,,O,O,O,P,P,,,,
Kyle Bosworth,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Eben Britton,Q,Q,,,,,D,D,O,IR,IR,IR,IR,IR,IR,IR
John Chick,,,,,,,,O,P,P,P,P,IR,IR,IR,IR
Drew Coleman,,,,,,P,,,,,,,,,,
Derek Cox,,D,P,D,O,D,P,,,,IR,IR,IR,IR,IR,IR
Leger Douzable,,,,P,,,,,,,,,,,,
Courtney Greene,,,,D,O,P,O,O,P,,,IR,IR,IR,IR,IR
T.J. Heath,,,,,,,,,,,,,O,IR,IR,IR
Jason Hill,,D,P,,,P,,P,,,,,,,,
Rod Issac,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rashad Jennings,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
David Jones,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Greg Jones,,,,,,,,,,,,,,,P,P
Maurice Jones-Drew,,,,,,,,,,,,,,,P,P
Aaron Kampman,Q,O,O,O,O,P,,,O,D,O,D,IR,IR,IR,IR
Terrance Knighton,,,,,,,,,O,O,O,P,,,,
Dawan Landry,,,,,,,P,,,,,,,,,P
Austen Lane,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marcedes Lewis,,D,P,P,,,,,,,,,P,,P,P
Dwight Lowery,,,,,,,,,,,,,O,,D,D
Rashean Mathis,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Darcel McBath,,,,,,,,,,,,,,,IR,IR
William Middleton,,,,,,,,,,,,Q,IR,IR,IR,IR
Zach Miller,Q,Q,,,D,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jeremy Mincey,,,,,,,,,,,,,,P,,
Eugene Monroe,,,,P,P,O,P,,,,,,,,,Q
Kassim Osgood,,,O,D,D,O,P,,,,,,,,,
Montell Owens,,,,O,O,O,P,,,,,,,,,
Zach Potter,,,,,,,,,,,,,,,,D
Chris Prosinski,,,,,,,,,,,,P,,IR,IR,IR
Will Rackley,,,,,,,P,,,,,,,,,
Brian Robiskie,,,,,,,,,O,O,O,IR,IR,IR,IR,IR
Matt Roth,,,O,P,,,,,,,O,D,O,D,O,IR
Martin Rucker,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Kevin Rutland,,,,,,,,,,,,,,,,P
Josh Scobee,,,,,,,,,,,,,,P,,
Clint Session,,,P,P,,O,P,P,,,IR,IR,IR,IR,IR,IR
Cecil Shorts,,,,,,,,O,O,O,P,P,P,D,O,D
Mike Sims-Walker,,,,,,,,P,IR,IR,IR,IR,,,,
D'Anthony Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Daryl Smith,,,,,,P,,,,,,,,,,
Jason Spitz,,,O,O,D,O,O,O,P,,,,,,,
Mike Thomas,,,,,,,,,,,,,,D,D,
Guy Whimper,,,,,,P,P,,,,P,P,P,P,D,P
Ashton Youboty,,,,,,,,,,,,P,,,,IR
