Player,09/07vs. PHI,09/14vs. WAS,09/21vs. IND,09/28vs. SDG,10/05vs. PIT,10/12vs. TEN,10/19vs. CLE,10/26vs. MIA,11/02vs. CIN,11/09vs. DAL,11/23vs. IND,11/30vs. NYG,12/07vs. HOU,12/14vs. BAL,12/18vs. TEN,12/28vs. HOU
Bryan Anger,P,,,,,,,,,,,,,,,
Alan Ball,,Q,P,P,,,P,D,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Barden,IR,,,,,,,,,,,,,,,
Zane Beadles,P,,,,,,,,,,,,,,,
Deion Belue,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,
Justin Blackmon,S,S,S,S,S,S,S,S,S,S,S,S,S,S,O,O
Will Blackmon,,,,,,,,,O,IR,IR,IR,IR,IR,IR,IR
Blake Bortles,,,,,,,,,,P,P,P,P,P,D,P
Luke Bowanko,P,,,,,,,P,,,,,,,,P
Andre Branch,,,,,P,,,O,O,O,O,P,O,O,O,P
Chris Clemons,,,P,,,,,,,,P,P,P,P,P,P
Aaron Colvin,O,O,O,O,O,O,O,O,O,O,P,,,,,
Damian Copeland,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Johnathan Cyprien,,O,P,,,,,,,,,,,,,
Ryan Davis,,,,,P,P,,,,,,,,,Q,
Tandon Doss,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Josh Evans,,,,,,,,,,P,P,Q,P,P,,
Bradie Ewing,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Khairi Fortt,,,,,,,,,,,,,O,O,IR,IR
Jeremiah George,,,,,,,,,,O,O,O,P,,,
Toby Gerhart,,P,P,P,,O,Q,P,,,,,P,P,,P
Dwayne Gratz,,P,,,D,P,,Q,P,,,,,,,
Winston Guy,,,P,,,,,,,,,,,,,
Clay Harbor,O,O,O,P,,P,P,,,,,,,,,
Geno Hayes,,,,,,,,,,,,,,,,
Allen Hurns,,,D,P,,P,,,P,,Q,,,,,
Luke Joeckel,,,,,,,,,D,,,,,,,
Storm Johnson,O,O,O,Q,,P,,,,,,,,,,
Abry Jones,,Q,,,,,,,,,,,,,,
Reggie Jordan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marqise Lee,,P,O,O,O,P,,,,P,,,,,P,
Marcedes Lewis,,,IR,IR,IR,IR,IR,IR,IR,IR,P,,,,,
Brandon Linder,,,,,,,,,,O,P,,,,,
Craig Loston,,,,,,,,P,,,,,,,,
John Lotulelei,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Sen'Derrick Marks,P,,,,,,,,,,,,P,,,
Sherrod Martin,,,,,,,,,,Q,,,,,,
Demetrius McCray,,,,,,,,,,,,Q,,,,
Roy Miller,,,,P,P,P,,,,,,,,,O,D
Fendi Onobun,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Austin Pasztor,O,O,O,P,P,,,,,,P,,IR,IR,IR,IR
Paul Posluszny,,,P,P,P,P,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Prosinski,,,,O,,,,,,,,,,,,
LaRoy Reynolds,,,,,,,,,,,,Q,Q,,,
Rashaad Reynolds,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Allen Robinson,P,,,,,,,,,,IR,IR,IR,IR,IR,IR
Denard Robinson,,,,,,,,,,,,,,O,IR,IR
Ace Sanders,S,S,S,S,P,,,,,,,,,,,
Josh Scobee,P,,,,,,,,,,,,,,,
Cecil Shorts,O,D,P,,O,P,,,P,D,,P,,,,P
Mickey Shuler,,,P,O,O,,,,,,,,,,,
Nathan Slaughter,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tommy Streeter,,,,,,,,,,,,,O,P,O,O
Will Ta'ufo'ou,,,,P,P,,,,,,,,,,,
J.T. Thomas,,,,,,,,,,,,,,P,,
Peyton Thompson,,,,,,,,,,,Q,,,,,
Jordan Todman,,,,,,,,,,P,,,,,,
Dekoda Watson,,,,,,P,,,O,P,,,,,,
Josh Wells,Q,,,,,,,,,,,,,,,
