Player,09/11vs. ATL,09/18vs. NOR,09/25vs. GNB,10/02vs. CAR,10/10vs. DET,10/16vs. MIN,10/23vs. TAM,11/07vs. PHI,11/13vs. DET,11/20vs. SDG,11/27vs. OAK,12/04vs. KAN,12/11vs. DEN,12/18vs. SEA,12/25vs. GNB,01/01vs. MIN
Anthony Adams,P,,,,,,,,,,,O,O,Q,,
Kyle Adams,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Marion Barber III,O,D,O,P,,,,,,,,,,,D,D
Kahlil Bell,P,,,P,,,,,,,,,,,,
Earl Bennett,,,D,O,D,O,O,P,,,,,,,,
Zackary Bowman,,P,,,,,,,,,,P,,,,
Lance Briggs,P,P,,,,,,,,P,,,,,P,P
Gabe Carimi,,,O,O,O,O,O,O,D,IR,IR,IR,IR,IR,IR,IR
Chris Conte,P,,,,,,,,,,,,,,IR,IR
Jay Cutler,,,,,,,,,,,O,O,O,O,O,IR
Kellen Davis,P,,,,,,P,,P,,,,,,P,P
Matt Forte,,,,,,,,,,P,,,O,O,O,IR
Chris Harris,,D,O,O,P,,,,,,,,,,,
Devin Hester,,,,,,,P,,P,P,P,,,,P,P
Sam Hurd,Q,P,,,,,,,,,,,,Q,,
Johnny Knox,,,,,,,,,,,,,,,IR,IR
Lance Louis,,D,O,,,,,,,,,,,,,
Patrick Mannelly,P,,,P,,,,,,,IR,IR,IR,IR,IR,IR
Henry Melton,,,,,,,,,,,,,P,O,P,
Brandon Meriweather,,,,,,,,,,,P,,,,,
D.J. Moore,,,,,,,,,,D,D,O,,,,
Julius Peppers,,,,,,D,,,P,P,,,,,,
Nick Roach,,,,,,,,,,,,,,,,P
Matt Spaeth,,,,O,P,,,,,,,,,,,
Chris Spencer,,,,,P,Q,,,,,,,,,,P
Craig Steltz,P,,,,,,,,,,,,,,,
J.T. Thomas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Charles Tillman,,,,,P,P,,,,,,P,P,P,,
Matt Toeaina,,,,,,O,O,Q,O,O,,,,,,
Brian Urlacher,,Q,,,,,,,,,,,P,,,Q
Anthony Walters,,,,,,,P,,,IR,IR,IR,IR,IR,IR,IR
Chris Williams,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Edwin Williams,,,,,,,,,,,,,,P,,
Roy Williams,,O,P,,,,,,,,,,,,,
Corey Wootton,D,O,O,,P,O,Q,,,,,,,,,O
Major Wright,,,O,P,,,O,Q,P,,,,O,O,,
