Player,09/09vs. GNB,09/17vs. SEA,09/23vs. ARI,09/30vs. TAM,10/14vs. MIA,10/21vs. NWE,10/28vs. NYJ,11/04vs. BUF,11/11vs. DET,11/18vs. MIN,11/22vs. DET,12/02vs. NYG,12/09vs. LAR,12/16vs. GNB,12/23vs. SFO,12/30vs. MIN,01/06vs. PHI
Sam Acho,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Prince Amukamara,,,,O,,,,,,,,,,,,,
Ben Braunecker,,,,,,,,O,,,,,,,,,
Daniel Brown,D,,,,,,,,,,,,,,,,
Marlon Brown,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Deon Bush,,,,,,,,,,,,,D,,,,
Bryce Callahan,,,,,,Q,,,,,,,,IR,IR,IR,IR
Marcus Cooper,,,O,O,O,D,,,,,,,,,,,
Benny Cunningham,,,,,,,,,,,,D,,,,,
Akiem Hicks,,,,,,,,,,,,Q,,,,,
DeAndre Houston-Carson,O,O,O,,,,,,,,,,,,,,
Eddie Jackson,,,,,,,,,,,,,Q,Q,D,D,
Eric Kush,,,,,,,O,,,,,,,,,,
Kyle Long,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,
Aaron Lynch,,,,,,,,,,,O,,,,D,D,
Khalil Mack,,,,,,Q,Q,Q,,,,,,,,,
Sherrick McManis,,,,,,,,,,,,D,,,,,
Anthony Miller,,,,O,,,,,,,,,,,,,
Zach Miller,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Bilal Nichols,,,,,,,,Q,Q,Q,,Q,Q,Q,Q,Q,
Allen Robinson,,,,,,Q,Q,Q,,,,,,Q,,D,
Adam Shaheen,IR,IR,IR,IR,IR,IR,IR,IR,IR,,O,,,,,,
Dion Sims,,,,,,,,,IR,O,IR,IR,IR,IR,IR,IR,IR
Mitchell Trubisky,,,,,,,,,,,D,D,,,,,
Andrew Trumbetti,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Javon Wims,,,,,,,,,,Q,,,,,,,
