Player,09/07vs. CHI,09/14vs. MIA,09/21vs. SDG,09/28vs. HOU,10/05vs. DET,10/12vs. NWE,10/19vs. MIN,10/26vs. NYJ,11/09vs. KAN,11/13vs. MIA,11/24vs. NYJ,11/30vs. CLE,12/07vs. DEN,12/14vs. GNB,12/21vs. OAK,12/28vs. NWE
Kiko Alonso,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Nigel Bradham,S,P,,,D,Q,,,,,,,,,,
Ron Brooks,,,,,,D,,P,O,O,Q,,,,,
Mario Butler,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dan Carpenter,,,,,,,,,,,P,P,P,P,P,P
Scott Chandler,,,,,,,,,,,,,,,Q,
Stefan Charles,,,P,,,,,,,,,,,P,,
Marcell Dareus,,,,,,,,,,,,,P,,,D
Anthony Dixon,D,,,,,,,,,,,,,,P,
Marcus Easley,,,,O,O,O,O,O,O,Q,,,,,,
Stephon Gilmore,P,P,,,,,,,,,,,,,P,D
Cordy Glenn,,,,,,,,,,,,,Q,,,
Marquise Goodwin,,,,D,P,,O,D,Q,O,O,,,,,
Chris Gragg,,,,,,,,,,,,O,O,O,P,
Chris Hairston,,,,,,,,,,,,,,Q,,
Chris Hogan,,P,,,,,,,,,P,,P,,,
Fred Jackson,,,,,,P,,O,P,O,Q,,,,,
Randell Johnson,P,,O,O,Q,,,,,,,,,,,
Kenny Ladler,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Manny Lawson,,,,,,,,,,,P,,,,,
EJ Manuel,,,,P,,,,,,,,,,,,
Leodis McKelvin,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Jonathan Meeks,D,D,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kyle Orton,,,,,,,,,,,P,,,,,
Ty Powell,,,,,,,O,O,Q,,,,,,,
Bacarri Rambo,,,,,,,,,,,,O,O,Q,,
Keith Rivers,,O,D,P,,,,,,,,,,,,
Garrison Sanborn,,,,,,,P,,,,,,,,,
Da'Norris Searcy,,,,P,,Q,P,,,,,,,O,P,
Lee Smith,D,D,P,,,,,,,,,Q,,,,
Brandon Spikes,P,,,,,Q,P,P,,,,,,,,
C.J. Spiller,,,,P,,,,IR,IR,IR,IR,IR,IR,IR,P,
Frank Summers,,,,,,,,,,,O,,,,,
Stevenson Sylvester,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marcus Thigpen,,,,,,,,,,,,,,,P,
Kraig Urbik,,,,,,,,,,,P,,,,,
Sammy Watkins,P,P,P,P,P,,,P,Q,P,P,,P,,,
Aaron Williams,,P,,,,O,P,Q,,,,,,,,P
Chris Williams,,,P,D,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Duke Williams,,,,,,,,,,,,,,,P,
Kyle Williams,,,,,D,Q,P,,,,,,Q,,,
Mario Williams,,,,,,,,P,,,,,,Q,,
Mike Williams,,,,,,,,,,,,,O,IR,IR,
Robert Woods,,,P,P,,,,,P,,,P,P,,,
Jarius Wynn,,,,,,,,,,O,O,O,O,O,P,
