Player,09/12vs. TEN,09/19vs. MIN
Kelvin Beachum,,Q
Jack Crawford,,
Darqueze Dennard,,
Dennis Gardeck,O,
Devon Kennard,,O
Jordan Phillips,,
J.J. Watt,PUP,
Antoine Wesley,O,
