Player,09/08vs. STL,09/15vs. DET,09/22vs. NOR,09/29vs. TAM,10/06vs. CAR,10/13vs. SFO,10/17vs. SEA,10/27vs. ATL,11/10vs. HOU,11/17vs. JAX,11/24vs. IND,12/01vs. PHI,12/08vs. STL,12/15vs. TEN,12/22vs. SEA,12/29vs. SFO
John Abraham,,P,,,,P,P,,P,Q,P,,,,,Q
Sam Acho,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Lorenzo Alexander,,Q,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Javier Arenas,P,,,,,,,,,,,,,,,
Yeremiah Bell,,,,,,,,,,,,P,,,,
Marcus Benard,,,,,,,,,,,,,P,,,
Justin Bethel,,,,,,,,,,,Q,,,,P,
Jasper Brinkley,,,,,Q,P,,,,,,,,,,
Jaron Brown,,,,,,,,P,,,,,,,,
LaRon Byrd,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Calais Campbell,Q,,,,,,D,,,,,,,,,
Daryn Colledge,,,,,Q,P,,Q,,,,,,,,Q
Jonathan Cooper,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Karlos Dansby,,,,,,,P,Q,,,,,,,P,
Kenny Demens,,,,,,Q,O,,,,,,,,,
Darnell Dockett,,P,,,Q,P,,,,,,,,,,P
Jim Dray,,,,,,,P,,,,,,P,,,
Andre Ellington,P,,,,,,,,,,,P,P,P,P,
Paul Fanaika,,,,,,,,,,,,,,P,,
Jay Feely,,,,,,,,P,,,,,,,,
Larry Fitzgerald,,P,P,P,,P,P,P,,,,,,,P,
Michael Floyd,,,,,,,,,,Q,P,P,P,Q,P,
Mike Gibson,,,,,,,,,,,P,,,,,
Brittan Golden,,,,,,,D,Q,O,Q,Q,Q,,,,
Rob Housler,D,D,P,,,,P,,Q,,,,P,D,Q,P
D.C. Jefferson,P,,,,,,,,,,,,,,,
Rashad Johnson,,,,D,Q,P,P,,,,,P,P,,O,Q
Jeff King,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Javone Lawson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mike Leach,P,,,,,,,,,,,,,,,
Ricky Lumpkin,IR,,,,,,,,,,,,,,,
Tyrann Mathieu,,,,,,,,,,,,,,IR,IR,IR
Rashard Mendenhall,P,P,Q,P,,,,D,P,,,,,,P,P
Kevin Minter,,,O,O,Q,P,,,,,,,P,,,
Dontay Moch,,,,,,,,,,Q,,,,,P,Q
Alex Okafor,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Carson Palmer,,,,,,,,,,,P,P,P,P,P,P
Nate Potter,,,,,,,,,,,,,,,,P
Andre Roberts,P,P,,,,,,,,P,,,,,,
Frostee Rucker,,,,,,,,Q,Q,P,P,,,,,
Matt Shaughnessy,,,,,,,,Q,P,,,,,,Q,P
Alfonso Smith,,,,,,,,P,,,,P,,,,
Vic So'oto,,,,Q,,,,,,,,,,,,
Bradley Sowell,,,,,,,,,Q,,,,,,,
Drew Stanton,,,,,,,,,,,,,,,,P
Alameda Ta'amu,,,,,,,,P,,,,,,,,
Ronald Talley,,,P,P,P,P,,P,,,,,,,,
Everrette Thompson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Daryl Washington,,,,,P,P,,,P,,,,,,,P
Earl Watford,,,,,,,,Q,,,,,,,,
Dan Williams,P,,Q,O,P,,,,,,,,,,,
Teddy Williams,,,,,,,,,,,O,IR,IR,IR,IR,IR
Dave Zastudil,,,,,,,,,,,,,P,,,
