Player,09/08vs. SDG,09/14vs. NYG,09/21vs. SFO,10/05vs. DEN,10/12vs. WAS,10/19vs. OAK,10/26vs. PHI,11/02vs. DAL,11/09vs. STL,11/16vs. DET,11/23vs. SEA,11/30vs. ATL,12/07vs. KAN,12/11vs. STL,12/21vs. SEA,12/28vs. SFO,01/03vs. CAR
John Abraham,,O,D,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Sam Acho,,,,,,,,,,,P,,,,,,
Lorenzo Alexander,,,,,,,,,P,P,P,P,P,P,P,P,
Marcus Benard,,,,,,,,,P,,,P,,,,,
Justin Bethel,,,,,P,,,,,,,,,,,,
Desmond Bishop,,,,,,,,,O,O,,,,,,,
Jaron Brown,,,,,,,,,,,,,,,Q,P,
John Brown,,,,,,P,P,,,,,P,,,,,
Deone Bucannon,,,,,,,,,,P,,,,,,Q,
Calais Campbell,,,,,O,O,,P,,,,,,,P,P,P
John Carlson,,,,,,Q,,,,,,,,,,Q,
Glenn Carson,,,,O,O,O,,,,,,,,,,,
Jonathan Cooper,P,,,,,,,,,,,,,,O,O,Q
Antonio Cromartie,,,,D,,,,,,,,,,,,,
Kenny Demens,,,,,Q,,,P,,,,O,P,,,,
Darnell Dockett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jonathan Dwyer,,,D,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Andre Ellington,D,Q,P,P,P,P,P,P,P,P,P,P,D,IR,IR,IR,IR
Paul Fanaika,,P,,Q,Q,,,,,,,,D,D,Q,,
Larry Fitzgerald,P,,,,,,,,,,O,O,P,P,P,P,
Michael Floyd,,,,,,P,,P,,,,,,,,,
Larry Foote,,,Q,,,,,,P,,P,,Q,P,P,D,P
Rob Housler,,,O,P,,,,,,,,,,,,,
Robert Hughes,,,,,,,,,,,P,,,,,,
Tony Jefferson,,,,,,,,D,,,,,,,,,
Rashad Johnson,,P,,,,,P,P,,,P,,,,,P,
Ted Larsen,,,,,,,,,,,,,,,,P,
Bobby Massie,,,,,,,,,P,,,,,,,,
Tyrann Mathieu,O,P,,,,,,,,,,,O,O,,P,P
Kevin Minter,P,,P,,,,,,,,,,,,,,
Troy Niklas,,,,,O,O,O,Q,,,IR,IR,IR,IR,IR,IR,IR
Alex Okafor,O,O,O,P,,P,,,,,,,,,,,
Carson Palmer,,O,D,D,Q,P,,,,IR,IR,IR,IR,IR,IR,IR,IR
Patrick Peterson,,,,,P,P,,P,,,,,,,,,
Frostee Rucker,P,D,Q,P,,Q,P,,,,,,,,,,P
Lyle Sendlein,,,P,,,,,,,,,,,,,,P
Matt Shaughnessy,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,P,,P,
Drew Stanton,,,,,O,,,,,,,P,,P,D,O,O
Ed Stinson,,,,,,,,,Q,O,O,O,O,Q,IR,IR,IR
Alameda Ta'amu,,,,,,Q,,,,,,,,,,,
Stepfan Taylor,,,,,,,,O,O,P,,,,,,,
Jared Veldheer,,,,,,,,,,,,,Q,P,P,,
Daryl Washington,S,S,S,S,S,S,S,S,S,S,S,S,S,S,O,O,O
Eddie Whitley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dan Williams,,,,,,,,,,P,P,,,,,Q,P
Kerwynn Williams,,,,,,,,,,,,,,,P,,
Dave Zastudil,Q,O,O,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
