Player,09/13vs. NYJ,09/20vs. TEN,09/27vs. JAX,10/04vs. OAK,10/11vs. ARI,10/18vs. CIN,10/25vs. SFO,11/01vs. BUF,11/08vs. IND,11/23vs. TEN,11/29vs. IND,12/06vs. JAX,12/13vs. SEA,12/20vs. STL,12/27vs. MIA,01/03vs. NWE
Xavier Adibi,,,,,,,,,P,,,,,,,
David Anderson,,,,P,,,,,,,,,,,,Q
Dominique Barber,,,,,,,,,O,Q,P,,,,,IR
Kevin Bentley,,,,,,,,,P,,,,,,,
Mike Brisiel,,,P,,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Brown,,,,O,,,,,,,,,,,,
Duane Brown,,,,P,,,,,,,,P,P,Q,P,P
Kris Brown,,,,,,,P,,,,,,,,,
Tim Bulman,,,,,,,,P,P,,,,O,P,,
John Busing,,,,,P,,,,,,,,,,,
Antoine Caldwell,,,,,O,,,,,,,,,,,
Khary Campbell,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
James Casey,,,,,P,P,,P,O,P,,,,,,
Shaun Cody,,O,P,P,,O,,,P,,,,,,,Q
Brian Cushing,,,,P,P,P,P,P,P,P,P,P,P,P,P,Q
Owen Daniels,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Andre' Davis,,O,D,P,P,,,,,,,,,,P,
Zach Diles,,,,,,P,,,,,,P,,,,
Joel Dreessen,,,,P,,,,,P,,P,,,P,P,P
Nick Ferguson,,,,,O,O,O,O,P,,,,,,,
Arian Foster,,,,,,,,,,,,,P,P,,
Rex Grossman,,,,,,P,,,,,,,,,,
Anthony Hill,,,,D,O,,,,,,,,,IR,IR,IR
Andre Johnson,,,,,,,,P,,,,,,,,P
Jeremiah Johnson,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jacoby Jones,,,,,,,,,,Q,P,O,Q,,,P
Vonta Leach,,P,P,,,,,,,,,,,P,,
Stanley McClover,,,,,IR,IR,,,,,,,,,,
Ryan Moats,,,,,P,,,,,,,,,,,
Antwaun Molden,,Q,O,O,O,,,P,,Q,IR,IR,IR,IR,IR,IR
Chris Myers,,,,,,,,,,,,,,Q,,
Troy Nolan,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Amobi Okoye,,,,P,,,,,,,P,,,,,
Chester Pitts,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Bernard Pollard,,,,,,,P,,,,,,,,,
Glover Quin,,,,,,,,,,,,O,P,,,
Jacques Reeves,O,O,D,O,P,,,,,,,,,,,
DelJuan Robinson,O,,,,,,,,O,,,,,,,
Dunta Robinson,,,,,,,,P,,,,,,,,
DeMeco Ryans,,,,,,P,P,P,,,P,P,,,,
Matt Schaub,P,,,,,,,,,,,P,P,P,,
Steve Slaton,,,,,,,,,,,P,O,IR,IR,IR,IR
Antonio Smith,,Q,,,,,,,,,,,,,,
Kasey Studdard,,,,,,,,,,,,,,P,,
Chaun Thompson,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kevin Walter,O,O,P,,,,,,,,,,,,,
Chris White,,,,,,,,P,P,,,,,,,
Mario Williams,,,,,P,P,P,P,P,,,,P,P,,
Eugene Wilson,O,P,P,O,,,,P,,,IR,IR,IR,IR,IR,IR
Jamie Winborn,,,,,,,D,P,,,,,,,,
