Player,09/07vs. WAS,09/14vs. OAK,09/21vs. NYG,09/28vs. BUF,10/05vs. DAL,10/09vs. IND,10/20vs. PIT,10/26vs. TEN,11/02vs. PHI,11/16vs. CLE,11/23vs. CIN,11/30vs. TEN,12/07vs. JAX,12/14vs. IND,12/21vs. BAL,12/28vs. JAX
Lonnie Ballentine,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Alfred Blue,,,,,,P,,,P,,,,,,,
Alan Bonner,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
A.J. Bouye,P,P,,Q,O,P,,Q,,,,,,,,
Brandon Brooks,,,,,,P,P,,,,,,,,,P
Duane Brown,,,,,P,,,,,,,,,,,
Max Bullough,,,,,,,,,,,O,P,IR,IR,IR,IR
Tyson Clabo,P,P,,,,,,,,,P,P,P,P,P,P
Jadeveon Clowney,,O,O,O,O,O,O,Q,Q,P,P,O,IR,IR,IR,IR
Jared Crick,,,,P,,,,,,,,,,,,
Brian Cushing,P,P,,,P,P,P,O,O,P,P,P,P,P,P,P
Anthony Denham,,,,,,,,,,,,,P,,,
Akeem Dent,,,P,,P,P,,P,,,P,O,P,P,P,
C.J. Fiedorowicz,,O,P,,,,,,,,,,,,,P
Ryan Fitzpatrick,,,,,,P,,,,,,,,,IR,IR
Arian Foster,,P,O,Q,P,P,P,,,O,O,P,P,P,P,
Garrett Graham,Q,P,P,,,,,,,,,,O,O,O,O
Jonathan Grimes,,,,,,,,,,,P,,P,,,
DeAndre Hopkins,,,P,,,,P,,,,,,,,Q,P
Kareem Jackson,,,,P,,,,,,O,O,O,P,P,P,P
Tim Jamison,P,P,P,P,Q,P,P,P,P,,,,,IR,IR,IR
Andre Johnson,,P,P,P,Q,P,P,P,P,,,,,O,P,
Damaris Johnson,,,,,P,P,,,,,,,,,,
Ben Jones,,,Q,P,P,P,,,,,,,,,,
Johnathan Joseph,P,P,P,P,P,P,P,P,,P,P,,P,P,P,P
Shiloh Keo,Q,O,D,O,Q,,,,,,,,,,,
Shane Lechler,,,,Q,P,P,,,,,,,P,,,
Kendrick Lewis,,,,,,,,,,,,P,,,,
Elbert Mack,,P,,,,,,,,,,,,,,
Ryan Mallett,,,,,,,,,,,P,IR,IR,IR,IR,IR
Danieal Manning,,,,,,,,,,,,,Q,P,,
Whitney Mercilus,,,,,,,,,P,,P,,,O,P,P
Mike Mohamed,P,P,,,,,Q,P,,,P,P,,,O,O
Darryl Morris,,,,,O,O,O,O,O,P,P,P,,,,
Chris Myers,P,P,,,P,,,,,,,,,,,
Derek Newton,,P,,,,P,P,,,,,,P,,,
Louis Nix,P,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ryan Pickett,,,,,,P,,,,,,P,P,,,P
Eddie Pleasant,,,,O,O,P,,,,,,,,,,
DeVier Posey,,,,,,,,,,,,,,,O,O
Jerrell Powe,,,,,,,,P,,,,,,,,
Jay Prosch,P,P,P,,,,,,,,,,,,,
David Quessenberry,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Brooks Reed,,,,,,,P,Q,P,P,,,,,,
Jumal Rolle,,,,,,,,,P,,,,,,,
Ricky Sapp,,,,,,IR,IR,IR,IR,IR,IR,,,,,
Tom Savage,,,,,,,,,,,,,,,O,O
John Simon,,,,,,,,Q,P,P,,,,,,
Xavier Su'a-Filo,P,P,,,,,,,,,,,,O,O,O
D.J. Swearinger,,,Q,P,P,P,,,,,,P,,,,
Jeff Tarpinian,,,,,,P,P,O,O,P,P,P,P,P,P,P
Justin Tuggle,P,,,,,,,,,P,P,,,,,
J.J. Watt,,P,,,P,P,P,,,,,,,,,
Cody White,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Bryan Witzmann,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Will Yeatman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
