,Division Placement,Points For,Points for Per Game,Points For Ranking,Points Against,Points Against Per Game,Points Against Ranking,Expected Wins,Expected Losses,Team Rating SRS,SRS rank,Strength of Schedule
1953,5,182,15.2,11,350,29.2,12,2.1,9.9,-12.01,12,1.99
1954,6,131,10.9,12,279,23.3,8,1.7,10.3,-8.25,10,4.08
1955,4,214,17.8,11,239,19.9,6,5.2,6.8,-4.56,10,-2.48
1956,4,270,22.5,4,322,26.8,11,4.8,7.2,-3.01,9,1.33
1957,3,303,25.3,2,235,19.6,8,7.8,4.2,5.26,2,-0.40
1958,1,381,31.8,1,203,16.9,2,9.8,2.2,14.10,1,-0.74
1959,1,374,31.2,1,251,20.9,7,8.6,3.4,10.01,1,-0.24
1960,4,288,24.0,4,234,19.5,6,7.4,4.6,2.05,8,-2.45
1961,3,302,21.6,7,307,21.9,10,6.9,7.1,1.14,11,1.50
1962,4,293,20.9,8,288,20.6,6,7.1,6.9,3.60,7,3.24
1963,3,316,22.6,7,285,20.4,7,7.9,6.1,2.01,12,-0.21
1964,1,428,30.6,1,225,16.1,1,11.5,2.5,15.51,1,1.01
1965,1,389,27.8,3,284,20.3,4,9.5,4.5,12.91,2,5.41
1966,2,314,22.4,8,226,16.1,3,9.6,4.4,7.64,4,1.36
1967,1,394,28.1,2,198,14.1,2,11.7,2.3,13.20,3,-0.80
1968,1,402,28.7,2,144,10.3,1,12.9,1.1,17.85,1,-0.58
1969,2,279,19.9,8,268,19.1,6,7.3,6.7,3.02,9,2.23
1970,1,321,22.9,6,234,16.7,7,9.5,4.5,.41,14,-5.81
1971,2,313,22.4,5,140,10.0,2,12.2,1.8,10.43,1,-1.93
1972,3,235,16.8,20,252,18.0,11,6.4,7.6,-2.32,19,-1.10
1973,5,226,16.1,20,341,24.4,21,3.8,10.2,-8.37,22,-0.16
1974,5,190,13.6,23,329,23.5,25,3.0,11.0,-8.66,24,1.27
1975,1,395,28.2,2,269,19.2,10,10.0,4.0,8.58,5,-0.42
1976,1,417,29.8,1,246,17.6,13,10.9,3.1,9.76,4,-2.46
1977,1,295,21.1,6,221,15.8,11,9.3,4.7,5.03,8,-0.25
1978,5,239,14.9,27,421,26.3,28,3.3,12.7,-8.76,27,2.62
1979,5,271,16.9,22,351,21.9,19,5.6,10.4,-3.47,22,1.53
1980,4,355,22.2,9,387,24.2,23,7.2,8.8,-1.51,18,.49
1981,4,259,16.2,26,533,33.3,28,2.4,13.6,-15.84,28,1.29
