Player,09/09vs. SFO,09/16vs. GNB,09/23vs. BUF,09/27vs. LAR,10/07vs. PHI,10/14vs. ARI,10/21vs. NYJ,10/28vs. NOR,11/04vs. DET,11/18vs. CHI,11/25vs. GNB,12/02vs. NWE,12/10vs. SEA,12/16vs. MIA,12/23vs. DET,12/30vs. CHI
Mackensie Alexander,D,,,,,,,,,,,Q,,,,
Ade Aruna,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Anthony Barr,,,,,,,,O,O,Q,,,,,,
Chad Beebe,,,,,,,,,,,O,O,O,O,,O
Mike Boone,,,Q,,,,,,,,,,,,,
Tashawn Bower,,,,,O,O,,,,,,,,,,
Mack Brown,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Aviante Collins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tom Compton,,,,,,,,O,O,Q,,,,,,Q
Dalvin Cook,,,O,Q,Q,Q,O,O,Q,,,,,,,
Stefon Diggs,,,,,,,,,Q,,,Q,,,,
Nick Easton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Pat Elflein,O,O,,,,,,,,,,,,,,
Ben Gedeon,,,,,,,,,,,O,,,,,
Everson Griffen,,,O,O,O,O,O,,,,,,,,,
C.J. Ham,,,,,,,,,,,,,,,,O
Anthony Harris,,,,Q,,,,,,,,,,,,
Mike Hughes,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Craig James,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,
Tom Johnson,,,,Q,,,,,,,,,,,,
Linval Joseph,,,,,,,Q,Q,,,,,,,,
Eric Kendricks,,,,,,,,,,,,,Q,,O,O
Hercules Mata'afa,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
David Morgan,,,O,,,,,,,O,O,O,O,Q,,
Jabari Price,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Riley Reiff,,,,Q,,O,O,D,Q,,,,,,,
Mike Remmers,,,,,,,,,,Q,,,,Q,,
Xavier Rhodes,Q,,,,,,,Q,Q,,,Q,,,,Q
Horace Richardson,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Sheldon Richardson,,,,,,,,,,,,,,Q,,
Andrew Sendejo,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marcus Sherels,,,O,O,O,,,,,,,,,,,O
Johnny Stanton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Roc Thomas,O,,,,,,,,O,,,,,,,
Trae Waynes,,,,,O,,,,,,,,O,,,
Brandon Zylstra,,,,,,,,,,,,Q,,,,
