Player,09/09vs. JAX,09/16vs. IND,09/23vs. SFO,09/30vs. DET,10/07vs. TEN,10/14vs. WAS,10/21vs. ARI,10/25vs. TAM,11/04vs. SEA,11/11vs. DET,11/25vs. CHI,12/02vs. GNB,12/09vs. CHI,12/16vs. STL,12/23vs. HOU,12/30vs. GNB,01/05vs. GNB
Jared Allen,,,,P,P,,P,P,,,P,P,P,P,P,P,P
Matt Asiata,,,,,,,Q,P,,,,,,,,,
Robert Blanton,P,,,,,,P,P,,,,,,P,,,
Jasper Brinkley,,,,,,,,,,,,P,P,P,,,
Stephen Burton,,,,,,,,,,,P,,,,,,
John Carlson,P,,,,,,,O,O,P,,,,,,,
Greg Childs,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Cook,Q,Q,P,,,,,Q,IR,IR,IR,IR,IR,IR,IR,,
Rhett Ellison,,P,P,,,,,,,,,,,,,,
Fred Evans,,,,,,,,P,P,,,,,,,,
Jerome Felton,,,,,,,,,,P,,,,,,,
Everson Griffen,,,,,,,,,,,,,,,P,,
Letroy Guion,P,,,,,,,,P,D,Q,P,P,P,,,
Percy Harvin,,,,,,P,,,P,D,D,D,IR,IR,IR,IR,IR
Erin Henderson,,,O,O,P,,,,P,,,,,,,,
A.J. Jefferson,,,,,,,,,,,,,,P,,,P
Michael Jenkins,,,,Q,Q,,,,,,P,,,,,,
Charlie Johnson,,,,,P,P,,,,,Q,,,P,,,
George Johnson,,,,,,,,,,,,,,,,,P
Matt Kalil,,,,,,,,P,,P,,,,,P,,
Chris Kluwe,,,,,,,,,P,P,P,P,P,P,Q,P,P
Phil Loadholt,,,,,,,,,,,,P,P,P,P,P,P
Demarcus Love,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tyrone McKenzie,,,,,,,,,,,,,,,,Q,O
Marvin Mitchell,O,Q,P,P,D,D,Q,P,,,,,,,,P,
Adrian Peterson,Q,P,,,,P,P,P,P,P,P,P,,P,P,P,P
Christian Ponder,,,,P,P,P,P,P,P,,,,,,,,Q
Mistral Raymond,,,,O,O,O,O,O,Q,P,,,,,P,,
D'Aundre Reed,,,O,Q,,,,,,,,,,,,,
Josh Robinson,,P,,,,,,,,,,,,,,,
Brian Robison,,,P,,,,,,,,,,,Q,Q,Q,P
Kyle Rudolph,,,,P,,,,,,,,P,P,P,,,
Jamarca Sanford,,,,,,,,,,P,,,,,,,
Geoff Schwartz,P,,,,,,,,,,,,,,,,
Andrew Sendejo,O,P,P,Q,O,P,,,,,,,,,,,
Marcus Sherels,P,,,,Q,,,,,,,,,,P,P,
Jerome Simpson,,,,P,,Q,P,P,,P,,,,,,,
Harrison Smith,,,,,,,,P,,,,P,,,,,P
John Sullivan,,P,P,,,,,,,,,,P,,,,
Antoine Winfield,,,,,P,P,P,P,P,P,P,P,P,Q,P,Q,P
Jarius Wright,O,Q,P,,,,,,,,,,,,,,
