Player,09/14vs. SFO,09/20vs. DET,09/27vs. SDG,10/04vs. DEN,10/18vs. KAN,10/25vs. DET,11/01vs. CHI,11/08vs. STL,11/15vs. OAK,11/22vs. GNB,11/29vs. ATL,12/06vs. SEA,12/10vs. ARI,12/20vs. CHI,12/27vs. NYG,01/03vs. GNB,01/10vs. SEA
Matt Asiata,,,,,,P,,,,P,,,,,,,
Anthony Barr,,,,,,,,Q,Q,P,P,Q,O,O,P,,
Joe Berger,,,,,,,,P,,,,,,,,,
Robert Blanton,,,,,,,,,,Q,P,P,Q,P,,,
Teddy Bridgewater,,,,,,,,,Q,P,P,,,,,,
T.J. Clemmings,,,,,,P,,P,,,,,,,,,
Audie Cole,,,,Q,,,O,P,IR,IR,IR,IR,IR,IR,IR,IR,IR
Scott Crichton,,,,,,,,,,,,,P,IR,IR,IR,IR
Stefon Diggs,,,,,,,,P,,,,,,,,,
Kenrick Ellis,,,,,,,,,,,,,,,,,O
Rhett Ellison,,,,,P,,O,P,,,,,,,P,,
Antone Exum,,,,,,,,,,,,,IR,IR,IR,IR,IR
Sharrif Floyd,,,,,,O,O,O,P,P,P,,,,,P,
Chase Ford,P,,,,,,,,,,,,,,,,
Brandon Fusco,,,Q,,,,,,,,,,,,,,
Everson Griffen,,,,,,P,,P,,,Q,,,Q,P,P,P
Anthony Harris,,,,,,,,,,,,,,,,P,
Charles Johnson,,,,O,Q,P,,,,,,,,O,P,,
Tom Johnson,,,,,,,P,P,,P,,,,,,,
Linval Joseph,,,,,,,,,P,,,O,O,Q,P,D,P
Matt Kalil,,,,,,,,,,Q,P,,,,,P,
Eric Kendricks,,,,,,,,O,D,P,P,,,,,,
Zach Line,P,,,,,,P,,,,,,,,,,
Phil Loadholt,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Casey Matthews,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jerick McKinnon,,P,,,,,,,,,,,,,P,,
Captain Munnerlyn,,,,,,P,,,,,,,,,,,
Terence Newman,,,,,,P,,,P,,,,,,,,
Cordarrelle Patterson,,,,,,,,,P,,,,,,,,
Adrian Peterson,,,,,,P,P,,,P,,,,,P,P,P
Jabari Price,,,,O,P,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
MyCole Pruitt,P,,,,,,,,,,,,,,,,
Xavier Rhodes,,,,P,,,,,,,,,,,,,
Josh Robinson,,,,,,,,,,,,,,,P,,
Brian Robison,,,,,,,,,P,,,,,,,,
Andrew Sendejo,,,,O,Q,,,,,,,O,O,P,,,
Marcus Sherels,,,,,,,,,Q,P,,,,,,,
Harrison Smith,,,,,,,,P,,,Q,Q,O,O,P,P,
Shamar Stephen,P,P,P,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
John Sullivan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Adam Thielen,,,,,,,P,,,P,,,,,,P,P
Justin Trattou,,,,O,O,O,O,O,O,P,,,,,,,
Mike Wallace,,,,,P,,,,,,,,,,,,
Brandon Watts,,,,,,,,,,,,,O,P,,,
Trae Waynes,,,,,,,,,,,Q,P,,,,,
Jarius Wright,,,,Q,P,P,P,,,,,,,,,,
