Player,09/13vs. DAL,09/20vs. BUF,09/27vs. NYG,10/04vs. WAS,10/11vs. PHI,10/18vs. CAR,10/25vs. NWE,11/08vs. GNB,11/15vs. MIA,11/22vs. NOR,11/29vs. ATL,12/06vs. CAR,12/13vs. NYJ,12/20vs. SEA,12/27vs. NOR,01/03vs. ATL
Gaines Adams,,,,P,P,,,,,,,,,,,
Will Allen,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
B.J. Askew,,,,P,,D,O,O,O,O,O,O,O,O,O,O
Michael Bennett,,,,,,,,,,,,O,D,,,Q
Josh Bidwell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
E.J. Biggers,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Antonio Bryant,,D,P,P,P,P,,O,D,P,P,,,,P,P
Brian Clark,,,,,Q,,,,,,,,,,,
Michael Clayton,P,,,,P,,P,P,P,,,O,D,O,P,
Torrie Cox,,,,P,P,,,,,,,IR,IR,IR,IR,IR
Angelo Crowell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Maurice Evans,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Jeff Faine,,O,O,O,O,P,,,,,,,,,P,P
Xavier Fulton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
John Gilmore,D,O,P,,,,,,,,,,,O,Q,
Earnest Graham,,,O,P,O,P,,,,,,,,,,IR
Geno Hayes,,,,,P,,,,,,,,O,P,,
Adam Hayward,D,,,,,,,,,,,,,,,
Chris Hovan,,,,,,,P,,,,,,,,,P
Tanard Jackson,,,,,,,,,,,,,,,P,
Dirk Johnson,,,,,,,,,,,,IR,IR,IR,IR,IR
Marcus Johnson,,,,P,,,,,,,,,,,,
Davin Joseph,,,,,,,,,P,,,,,P,,
Byron Leftwich,,,,O,O,,,,O,O,IR,IR,IR,IR,IR,IR
Elbert Mack,,,P,,,,,P,,O,,,,,,
Matt McCoy,,,P,,,,,,,,,,,,,
Roy Miller,,,P,P,,,,,,,,O,,P,,Q
Kyle Moore,O,O,P,O,O,O,,,,,,,,,,
Donte Nicholson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mike Nugent,,,,P,,,,,,,,,,,,
Donald Penn,,,,,,P,,,,,,P,,,,
Jermaine Phillips,,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Derrick Roberson,,,,,,,,,,,,,D,O,,
Barrett Ruud,,,,,,,P,,,,P,,,,,
Arron Sears,,,,,,,,,,,,O,O,O,O,O
Ryan Sims,,,,,,,P,,,,,,,,,
Clifton Smith,,,P,P,,P,D,,P,,,,IR,IR,IR,IR
Jerramy Stevens,,,,,,D,,,,,,,,,,
Byron Storer,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Maurice Stovall,,,D,P,,,,,,,,P,,,,
Sammie Stroughter,,,,,,,,,,,,,O,P,IR,IR
Aqib Talib,,,,,,,P,P,P,P,,O,,,,
Derrick Ward,,,,O,P,,,,P,,,,,,P,Q
Stylez G. White,,,,,,,,,D,,,P,,,,
Jimmy Wilkerson,,,,,,P,,,,,,,,,,IR
Cadillac Williams,,,P,P,,,,,,P,,,P,,,
Rod Wilson,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Kellen Winslow,,,,,,,,,,P,P,P,P,P,P,P
Jeremy Zuttah,,,,P,,,,P,,,,,,,,Q
