Player,09/07vs. CAR,09/14vs. STL,09/18vs. ATL,09/28vs. PIT,10/05vs. NOR,10/12vs. BAL,10/26vs. MIN,11/02vs. CLE,11/09vs. ATL,11/16vs. WAS,11/23vs. CHI,11/30vs. CIN,12/07vs. DET,12/14vs. CAR,12/21vs. GNB,12/28vs. NOR
Johnthan Banks,,,,,,O,P,,,,,,,,,
Mark Barron,,,,,Q,,,,,,,,,,,
Da'Quan Bowers,D,P,P,,,,S,S,P,,,P,,,,
Jonathan Casillas,,,,,,O,O,,,,,,,,,
Adrian Clayborn,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Anthony Collins,,,,,,,Q,D,D,P,,,O,O,,
Lavonte David,,,,,,,,,Q,,O,O,Q,P,,
Evan Dietrich-Smith,,,P,,,Q,,P,,,,O,P,,,
Demar Dotson,,P,P,,,,,,,P,,,,,,
Kadeem Edwards,,,,,,,,,O,IR,IR,IR,IR,IR,IR,IR
Larry English,,,,O,O,O,,,,,,,,,,
Mike Evans,,,,,O,,,,,,,,,,,
Mason Foster,,,O,O,O,P,,,,,,,O,O,Q,D
Isaiah Frey,,,,,,,,,,,,,,,O,O
William Gholston,O,Q,P,P,,,,,,,,,,,,
Dashon Goldson,,,,,O,O,Q,,,,,Q,,,,Q
Robert Herron,,,,,,,,,,,,,,,,O
Trindon Holliday,,,,,,,,O,,,,,,,,
Vincent Jackson,,,,P,,Q,P,P,P,,,,,,,
Mike James,P,,,,,,,,,,,,,,,
Mike Jenkins,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Michael Johnson,,O,Q,Q,Q,,,Q,O,P,,,,,,
Jorvorskie Lane,P,,,,,,S,S,P,,,IR,IR,IR,IR,IR
Danny Lansanah,,,,,,,,,,,,,,,,
Brandon Magee,,,,,,,O,O,Q,,,,,IR,IR,IR
Logan Mankins,,Q,P,,,,,,,,,,,,,
Doug Martin,,O,O,P,,,,D,D,O,Q,,,,,
Josh McCown,,,,D,O,D,O,Q,,P,,,,,,
Gerald McCoy,,Q,D,P,Q,,,,,P,,,,,IR,IR
Clinton McDonald,,,,,,,,,,,,O,O,O,Q,
Bradley McDougald,O,Q,P,,,,,,,,,,,,,
Rashaan Melvin,O,O,Q,,,,,,,,,,,,,
Louis Murphy,O,,,,,,,,,,,,,,IR,IR
Brandon Myers,,,,,,,,,,,,O,O,P,,
Kevin Pamphile,,,,,,,,,,,,,,,Q,
Solomon Patton,,,,,,,,,,,,,,O,O,O
Bobby Rainey,,,,,,,,,,,,,D,,P,P
Austin Seferian-Jenkins,,O,O,P,Q,,,,P,,,O,D,O,IR,IR
Charles Sims,IR,IR,IR,IR,IR,IR,IR,IR,Q,,Q,P,,,,
Akeem Spence,,,,,,,,,Q,,,,,,,
Luke Stocker,,,,,,,,,O,O,Q,O,P,,,
Keith Tandy,,,,,,,O,Q,,,,,,,,
Alterraun Verner,,,,,,,,,D,O,Q,,,,,
Jason Williams,,,,,,,,,,,,,,,Q,
Major Wright,,,,,,,,,,,,O,P,O,IR,IR
