Player,09/17vs. CHI,09/24vs. MIN,10/01vs. NYG,10/05vs. NWE,10/15vs. ARI,10/22vs. BUF,10/29vs. CAR,11/05vs. NOR,11/12vs. NYJ,11/19vs. MIA,11/26vs. ATL,12/03vs. GNB,12/10vs. DET,12/18vs. ATL,12/24vs. CAR,12/31vs. NOR
Jude Adjei-Barimah,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kwon Alexander,Q,O,O,O,O,Q,,,,,,,,,,
Robert Ayers,,,Q,,Q,Q,,Q,Q,,O,O,,,O,D
Chris Baker,,D,,,,,Q,Q,,,,,,,,
Kendell Beckwith,,,,,,,,Q,,,,,,,,
Devante Bond,O,Q,,,,,,,,,,,,,,D
Cameron Brate,,,,,,,,,,,,Q,,,Q,Q
Lavonte David,,,D,D,Q,Q,,,,,,,,O,Q,
Evan Dietrich-Smith,Q,,,,,,,,,,O,,,,,
Demar Dotson,,,,,,,,,Q,,,IR,IR,IR,IR,IR
Justin Evans,,,,,,,,,,,,,,,IR,IR
Nick Folk,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
William Gholston,,,,,,,,,O,O,Q,,,,,
Ryan Griffin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brent Grimes,,Q,Q,,,,O,O,Q,,,,,,,
Vernon Hargreaves III,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
O.J. Howard,,,,,,,,,,,,,,,IR,IR
Adam Humphries,,,,,,,,Q,,,,,,,,
DeSean Jackson,,,,,,,,,,,,Q,,,O,Q
DaVonte Lambert,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ali Marpet,,,,,Q,,,,,,,IR,IR,IR,IR,IR
Doug Martin,,,,,,,,,,,,O,,,,
Robert McClain,,,,,,,O,,D,,,,,,,
Gerald McCoy,,Q,Q,,,,,,Q,,,,,O,Q,
Clinton McDonald,,,,,,,,,,,,O,O,Q,,
Kevin Pamphile,,Q,,,,,,,,,,,,,,
Josh Robinson,,,,,O,O,O,,,,,O,O,Q,,
Ryan Russell,,,,,O,O,Q,,,,,,Q,,Q,Q
Donovan Smith,,,,,,,,,Q,,,,,Q,,
Jacquies Smith,IR,D,,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR
Ryan Smith,,,,,,,,,,,,,,,D,
Noah Spence,,,Q,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
J.R. Sweezy,,,Q,,,,,,Q,,,,,Q,IR,IR
Keith Tandy,,,,D,O,Q,,,,,,,,,,
Adarius Taylor,,,,,,Q,,,,,,,,,IR,IR
Justin Trattou,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Stevie Tu'ikolovatu,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
T.J. Ward,,,D,D,Q,Q,,,,,,O,O,,,
Leonard Wester,,,,,,,,,,,,Q,,,,
Jameis Winston,,,,,,Q,Q,Q,O,O,O,Q,,,,
