Player,09/13vs. MIA,09/20vs. STL,09/24vs. NYG,10/04vs. PHI,10/11vs. ATL,10/18vs. NYJ,10/25vs. TAM,11/08vs. NWE,11/15vs. NOR,11/22vs. CAR,11/29vs. NYG,12/07vs. DAL,12/13vs. CHI,12/20vs. BUF,12/26vs. PHI,01/03vs. DAL,01/10vs. GNB
Chris Baker,,,,,,,,,,P,,P,,,,,
Will Blackmon,,,,,,,,,,,,P,,,,P,
Bashaud Breeland,,,,,,P,P,Q,P,P,Q,,,,,,
Derek Carrier,,,,,,,,,,,,Q,Q,IR,IR,IR,IR
Tom Compton,Q,Q,Q,,,,,,,,,,,,,,
William Compton,,,,,,,,,,,,,P,P,P,P,
Chris Culliver,,,,Q,O,O,O,Q,P,P,IR,IR,IR,IR,IR,IR,IR
Quinton Dunbar,,,,,,,,P,,,,Q,P,,,O,Q
Deshazor Everett,,,,,,,,,,,Q,Q,P,,,,
Junior Galette,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Pierre Garcon,,,,,P,P,,,,,,,,,,,
Dashon Goldson,,,,,,,,,P,P,P,P,P,P,Q,O,P
Kedric Golston,,,,Q,P,P,,,,,,,,,P,,
Ryan Grant,,,,,,,,,,,,,,P,Q,P,
Robert Griffin III,P,,,,,,,,,,,,,,,,
DeAngelo Hall,,P,P,O,O,O,O,Q,Q,P,P,P,P,P,,Q,
Jason Hatcher,,,,,,,Q,P,P,P,P,P,Q,Q,P,Q,P
Adam Hayward,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Duke Ihenacho,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
DeSean Jackson,,O,O,O,O,Q,O,Q,,,,P,,P,P,Q,P
Jackson Jeffcoat,Q,Q,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jeron Johnson,,,,,,,,,,,P,,O,Q,P,,P
Matt Jones,,,,,,Q,P,,,,,,,,Q,D,Q
Frank Kearse,P,,,,,,,,,,,,,,P,,
Ryan Kerrigan,,,,,P,,,Q,P,P,P,,,,P,,
Terrance Knighton,,Q,P,,,,,,Q,Q,P,P,,,,,
Shawn Lauvao,,,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Josh LeRibeus,,,,Q,P,P,,P,P,P,P,P,,,Q,P,
Kory Lichtensteiger,P,P,P,P,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
Spencer Long,,,,,P,P,,,,P,,,,,,,
Colt McCoy,,,,P,,,,,,,,,,,,,
Alfred Morris,,,,,,,,,,P,P,,,,,,
Morgan Moses,,,P,P,,,,,,,,,,,Q,P,
Trent Murphy,,,,,P,,,,,,,,,,,,
Stephen Paea,,,,,,Q,Q,,,,,,IR,IR,IR,IR,IR
Niles Paul,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Logan Paulsen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dashaun Phillips,,,,,,,,,,,,,,,,,P
Jordan Reed,,Q,,,O,O,Q,,,,,,,,P,,
Perry Riley,,,Q,O,Q,P,,P,,,,O,O,O,O,D,Q
Andre Roberts,,,,,,Q,P,,Q,P,P,IR,IR,IR,IR,IR,IR
Keenan Robinson,,,,,,,Q,Q,Q,Q,Q,Q,Q,Q,P,P,
Trent Robinson,,,,,,,P,,,O,O,,,,,,
Justin Rogers,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Scherff,,,,,,,,,,P,P,,,,,,
Martrell Spaight,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Pierre Thomas,,,,,,,,,,,,,,,,Q,
Chris Thompson,,,,,,P,D,P,P,,,Q,O,Q,P,P,P
Trent Williams,,P,,,,O,Q,,,,P,,,P,,Q,P
