Player,09/12vs. PIT,09/18vs. DAL,09/25vs. NYG,10/02vs. CLE,10/09vs. BAL,10/16vs. PHI,10/23vs. DET,10/30vs. CIN,11/13vs. MIN,11/20vs. GNB,11/24vs. DAL,12/04vs. ARI,12/11vs. PHI,12/19vs. CAR,12/24vs. CHI,01/01vs. NYG
Houston Bates,,,,,,,,,,,,,,,IR,IR
Will Blackmon,,,,,,,,,Q,,,,O,Q,,
Kevin Bowen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Bashaud Breeland,,,,O,O,Q,,Q,,,,Q,,,,
Mack Brown,,,,,,,,,,,,,,Q,,
David Bruton,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Derek Carrier,IR,IR,IR,IR,IR,IR,IR,IR,,,,,Q,,,
William Compton,,,,,,,,,,,,,Q,D,Q,Q
Su'a Cravens,,Q,Q,,O,Q,,,,,,,,O,O,O
Jamison Crowder,,,,,,,,Q,,,,,,,,
Steven Daniels,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Vernon Davis,,,,,,,,Q,,,,,,,,
Reggie Diggs,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Josh Doctson,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Quinton Dunbar,,,,,,,,,,,,,,,O,O
Kedric Golston,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
DeAngelo Hall,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Duke Ihenacho,,,,,,,,,Q,,,,,,,
Matt Jones,Q,,,,,,,O,,,,,,,,
Robert Kelley,,,,,,,,,,,,,,,,Q
Ryan Kerrigan,,,,,Q,,,,,,,,,Q,Q,Q
Anthony Lanier,,,,,,,,,,,,IR,IR,IR,IR,IR
Shawn Lauvao,,,,O,Q,,,,,,,,Q,Q,,
Kory Lichtensteiger,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Spencer Long,Q,,,,,,,Q,,,,,O,Q,,Q
Keith Marshall,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Morgan Moses,,,,,,,,,Q,Q,,,,,,
Trent Murphy,,,,Q,,,,,,,,Q,,,,Q
Josh Norman,,,,,,,,Q,,,,,,,,
Ty Nsekhe,,,Q,,,,,,,,Q,Q,Q,Q,Q,
Vinston Painter,,,,,,,,,,,,,,,,O
Niles Paul,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Dashaun Phillips,,,,O,O,,,,,,,,,,,
Jordan Reed,,,,,,Q,O,Q,,,,O,Q,Q,Q,Q
Brandon Scherff,,,,,,,,Q,,,,Q,Q,,,
Preston Smith,,,,,,,,,,,,,Q,,,
Martrell Spaight,,O,Q,,,,,,,,,,,Q,Q,Q
Nick Sundberg,,,,,,,,,,Q,O,Q,,,,
Chris Thompson,,,,,,,,,,,,Q,,,,
Donte Whitner,,,,,,,,,,,,,,,,IR
Trent Williams,,Q,,,,,,Q,,,,,,,,
