Player,09/09vs. PHI,09/16vs. CIN,09/23vs. BUF,09/27vs. BAL,10/07vs. NYG,10/14vs. CIN,10/21vs. IND,10/28vs. SDG,11/04vs. BAL,11/18vs. DAL,11/25vs. PIT,12/02vs. OAK,12/09vs. KAN,12/16vs. WAS,12/23vs. DEN,12/30vs. PIT
Emmanuel Acho,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Johnson Bademosi,,,,,,,,P,P,,,P,,,,
Marcus Benard,IR,IR,IR,IR,IR,,,,,,,,,,,
Travis Benjamin,,,,,D,D,P,P,,,,,P,P,P,
Sheldon Brown,Q,P,,P,,,,,,,,,,,,D
Jordan Cameron,Q,P,,,,,,,,P,P,P,P,,O,O
Tank Carder,,,,,,,P,P,,,,,,,,
Josh Cooper,,,,,,,,,,P,P,,,,,
Oniel Cousins,D,Q,P,,,,,,,,,,,,P,
Josh Cribbs,,P,Q,P,P,,,,,P,P,Q,P,P,P,P
Auston English,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Scott Fujita,D,P,P,,,Q,O,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tashaun Gipson,,,,,O,O,Q,Q,P,,,,,,,P
Chris Gocong,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Josh Gordon,,P,,,,,P,,,,,,,,,
John Greco,Q,Q,,,,,,P,,,,,,,,P
Joe Haden,,,,,,,,,,Q,P,,,,,
Eric Hagg,P,,,,,,,,,,,,,,,
Montario Hardesty,,,,,,,,P,,,,,,P,P,
John Hughes,,,,,,,,P,P,,,,,,,P
D'Qwell Jackson,,,,,,P,,,Q,P,,,,,,
James-Michael Johnson,O,O,O,Q,Q,,,,P,,,,P,P,IR,IR
Ishmaa'ily Kitchen,,,,,,,,,,,,,,,,Q
Shawn Lauvao,,,,,,,,,P,,,P,,P,P,
Thaddeus Lewis,Q,,,,,,,,,,,,,,,
Greg Little,,,P,,,,P,,,,,P,,,,
Alex Mack,,P,,,,,,,,,,,,,,
Mohamed Massaquoi,,,,D,D,O,O,Q,P,P,,,,,O,IR
Colt McCoy,,,,,,,,,,,,,,,,O
Ryan Miller,,,,,,,,P,,,,,P,,,
Jordan Norwood,,,,,,D,O,O,O,O,O,O,O,O,O,O
Chris Ogbonnaya,P,P,,,,,,P,P,,,,,,,
Juqua Parker,,,Q,,,,,P,P,,P,,,P,P,P
Dimitri Patterson,P,,,,,O,O,O,O,O,O,O,P,,,
Scott Paxson,IR,,,,,,,,,,,,,,,
Jason Pinkston,,,,P,,Q,O,IR,IR,IR,IR,IR,IR,IR,IR,IR
Trent Richardson,P,P,P,P,,,P,Q,P,P,P,P,P,P,,D
Ahtyba Rubin,,,,,,Q,Q,O,O,Q,P,,,,,
Frostee Rucker,,,,P,P,P,P,P,P,P,P,P,P,P,Q,P
Brian Sanford,,,,,,,,,Q,IR,IR,IR,IR,IR,IR,IR
Jarrod Shaw,,,,,,,,P,P,,P,,,,,
Buster Skrine,,,,,,,,P,,P,P,,,,,
Alex Smith,,,O,D,D,P,,,,,,P,,,P,P
Emmanuel Stephens,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Phil Taylor,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,P,,,P,,P,
Joe Thomas,,P,,,,,,,,,,,,P,P,Q
Raymond Ventrone,P,O,Q,Q,P,Q,P,P,P,O,O,O,P,,,
T.J. Ward,Q,,,,Q,Q,P,P,P,P,P,P,,,IR,IR
Ben Watson,P,Q,,,,,,,,,,,,,,
Brandon Weeden,,,,,,,P,,P,P,,P,,,,D
Eddie Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Billy Winn,,,P,,,,,,,,,,,,,
Usama Young,P,,,,P,,,P,,P,,O,P,,,
Christian Yount,,,,P,,,P,P,P,,,,,,,
