Player,09/06vs. PHI,09/16vs. CAR,09/23vs. NOR,09/30vs. CIN,10/07vs. PIT,10/14vs. TAM,10/22vs. NYG,11/04vs. WAS,11/11vs. CLE,11/18vs. DAL,11/22vs. NOR,12/02vs. BAL,12/09vs. GNB,12/16vs. ARI,12/23vs. CAR,12/30vs. TAM
Robert Alford,,,,,,,,O,,,,,,,,
Ricardo Allen,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Justin Bethel,,,,O,O,,,,,,,,,,,
Matt Bryant,,,,,,,O,O,O,,,,Q,,,
Devonta Freeman,,O,O,O,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Fusco,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Russell Gage,,O,,,,,,,,,,,,,,
Ben Garland,O,O,,,,,,,,,,,,,,
Josh Harris,Q,,,,,,,,,,,,IR,IR,IR,IR
Grady Jarrett,,,,,O,O,,,,,,,,,,
Deion Jones,,IR,IR,IR,IR,IR,IR,IR,IR,O,O,,,,,
Julio Jones,,,,,,,,,,,,,,,Q,
Andy Levitre,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Terrell McClain,,,,,,,,,,,,,,O,,
Takkarist McKinley,,,O,,,,,,,,,,,,,
Keanu Neal,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Corey Nelson,,,O,,,,,,,,,,,,,
Logan Paulsen,,,,,,,,,,,,,O,,,
Wes Schweitzer,,,,,,,,,,,,,,,,O
Derrick Shelby,,,O,O,O,O,,,Q,,,IR,IR,IR,IR,IR
Ito Smith,,,,,,,,,,,,,,,IR,IR
Blidi Wreh-Wilson,O,,,,,,,,,,,,,,,
