Player,09/10vs. CHI,09/17vs. GNB,09/24vs. DET,10/01vs. BUF,10/15vs. MIA,10/22vs. NWE,10/29vs. NYJ,11/05vs. CAR,11/12vs. DAL,11/20vs. SEA,11/26vs. TAM,12/03vs. MIN,12/07vs. NOR,12/18vs. TAM,12/24vs. NOR,12/31vs. CAR,01/06vs. LAR,01/13vs. PHI
Ricardo Allen,,,,O,,,,,,,,,,,,,,
Vic Beasley,,,O,O,,,,,,,,,,,,,,
Matthew Bosher,,,,,,,,,,Q,,,,,,,,
Matt Bryant,,,,,Q,,,,,,,,,,,,,
Tevin Coleman,,,,,,,,,,,,,,O,,,,
Jack Crawford,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Devonta Freeman,,,,,,,,,,O,O,,,,,,,
Devin Fuller,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jermaine Grace,,,,,O,,,,,,,,,,,,,
Brian Hill,,Q,,,,,,,,,,,,,,,,
Andy Levitre,,,,,,,,,Q,,,,O,O,Q,,IR,IR
Alex Mack,,,,,,,,,,,,,,,,Q,,
Quincy Mauger,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Austin Pasztor,Q,,,,,,,,,,,,,,,,,
LaRoy Reynolds,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,
Duke Riley,,,,,,,O,O,O,Q,,,,,,,,
Ty Sambrailo,,,,,,,,,,,O,,,,,,,
Mohamed Sanu,,,,,O,,,,,,,,,,,,,
Eric Saubert,,,,,,,,,,,,,O,,,,,
Ryan Schraeder,,,O,O,,,,,,,,,,,,,,
Levine Toilolo,,,,,,,,,,,,,,,,O,,
Jordan Tripp,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Desmond Trufant,,,,,,,,,,,,O,,,,,,
Courtney Upshaw,,,O,O,O,,,,,,,,,,,,,
Terron Ward,,,O,O,,,,,,,,,,,,,,
Sean Weatherspoon,,,,,,,,,,,,Q,,,,,,
