Player,09/08vs. NWE,09/15vs. SEA,09/22vs. SFO,09/30vs. CIN,10/06vs. BAL,10/13vs. LAC,10/28vs. MIA,11/03vs. IND,11/10vs. LAR,11/14vs. CLE,11/24vs. CIN,12/01vs. CLE,12/08vs. ARI,12/15vs. BUF,12/22vs. NYJ,12/29vs. BAL
Mark Barron,,,,,,O,Q,,,,,,,,,
Artie Burns,,,,,,,,,,,D,Q,,,,
Anthony Chickillo,,,O,O,O,,,,,Q,,,,,,
James Conner,,,,,,,,D,O,,O,D,O,Q,,O
Sean Davis,D,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jayrone Elliott,,,,Q,,,,,,,,,,,,
Ramon Foster,,,,,,,,O,O,,,,,,,
Ulysees Gilbert,,,,,,,Q,,IR,IR,IR,IR,IR,IR,IR,IR
Xavier Grimble,,,,IR,IR,,,,,,,,,,,
Joe Haden,,Q,,,,,,,,Q,,,,,,
Lavon Hooks,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Vance McDonald,,,,D,Q,,,,,,,,,O,,
Steven Nelson,,,,,,Q,,,,,,,,,,
Roosevelt Nix,,O,O,O,O,O,,Q,O,O,IR,IR,IR,IR,IR,IR
Maurkice Pouncey,,Q,,,,,,,,,,,,,,O
Ben Roethlisberger,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mason Rudolph,,,,,,O,,,,,,,,,,IR
Jaylen Samuels,,,,,,O,Q,,,,,,,,,
Ryan Shazier,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP
JuJu Smith-Schuster,,,,,Q,,,,Q,,O,O,O,O,,
Benny Snell Jr.,,,,,,,,O,O,O,,,,,,
Ryan Switzer,,,,,,,,,,O,IR,IR,IR,IR,IR,IR
Stephon Tuitt,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Leterrius Walton,,,,,,,,,,,IR,IR,IR,IR,IR,IR
James Washington,,,,,,O,,,,,,,,,,
Vince Williams,,,O,O,Q,,,,,,,,,,,
