Player,09/09vs. DEN,09/16vs. NYJ,09/23vs. OAK,10/07vs. PHI,10/11vs. TEN,10/21vs. CIN,10/28vs. WAS,11/04vs. NYG,11/12vs. KAN,11/18vs. BAL,11/25vs. CLE,12/02vs. BAL,12/09vs. SDG,12/16vs. DAL,12/23vs. CIN,12/30vs. CLE
Mike Adams,,,Q,,,,,,,,,O,O,O,D,IR
Cortez Allen,,,,,,,,,,,,,,D,P,
Will Allen,,,,,,,P,,,,P,,,,,
Baron Batch,Q,,,,,,,P,,,Q,,,,,IR
Antonio Brown,,,,,,,,Q,D,D,Q,P,P,P,,
Curtis Brown,,,,,,,,,,P,,,,,,IR
Drew Butler,,,,,,,,,,,,,P,,,
Chris Carter,,,,,,O,P,,,IR,IR,IR,IR,IR,IR,IR
Ryan Clark,O,,,,,,,P,,P,,,P,,,
Willie Colon,,,,,,,,,,,O,Q,P,O,IR,IR
Jerricho Cotchery,,,,,,,,,,,O,Q,P,,,
David DeCastro,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,P
Jonathan Dwyer,,P,P,,,,P,D,P,,,,,,,
Larry Foote,P,,,,,,,,,,,,,,,
Ramon Foster,,,,,,,,,,,,,,,,
Marcus Gilbert,,,P,P,,O,O,O,D,D,O,IR,IR,IR,IR,IR
Casey Hampton,,,,,,,,,,,,P,,,,
James Harrison,Q,D,O,P,P,,,,,,,,,P,,
Evander Hood,,P,,,,,,,,Q,Q,,,,,
Brandon Johnson,,,,,,P,O,P,,,,,,,,
David Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,
Will Johnson,,,,,,,,,,,,,P,,,
Brett Keisel,P,,,,,,,,,P,,,,,,
Byron Leftwich,,,P,,,,,,,,O,O,P,D,,
Keenan Lewis,,,,,,,,,,,,,,P,Q,P
Marshall McFadden,,,,,,,,,,,,,,,,O
Rashard Mendenhall,D,D,O,P,P,O,D,D,Q,P,,,,,Q,
Heath Miller,,,P,,,,,,,,,,,,,IR
Troy Polamalu,,Q,D,P,O,O,O,O,O,D,D,P,,,,
Maurkice Pouncey,,,,,,O,P,,,,,,,,,
Chris Rainey,,,,,,,,,P,,,,,,,
Isaac Redman,P,,,,,O,Q,P,,,P,,,Q,,
Adrian Robinson,,,,,,,Q,,,,,,,,,
Ben Roethlisberger,,,,,,P,,,Q,O,O,O,P,,,
Emmanuel Sanders,,,P,,,,,,,,,,P,Q,P,
Weslye Saunders,,,,,P,,,,,,,,,,,
Sean Spence,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Max Starks,,P,,,,,,,,P,,P,,,,
Shaun Suisham,,,,,,,Q,,P,,,,,,,
Stevenson Sylvester,O,O,O,,P,,,O,O,P,P,,,,,
Alameda Ta'amu,,,,,,,,P,,,,,,,,
Ike Taylor,,,,,,,,,,P,,,O,O,O,IR
Lawrence Timmons,,,,,,P,,,,,,,,,,
DeMarcus Van Dyke,,,,,,,,,,,,,,,IR,IR
Mike Wallace,,,P,,,,,,,,,,P,,,IR
LaMarr Woodley,,,,Q,D,,,P,,,,D,O,P,,
Al Woods,,,,,,,,,,,,,,,P,
Jason Worilds,P,,,,,,P,,,,,,,,,
