Player,09/13vs. LAR,09/20vs. ATL,09/27vs. SEA,10/04vs. CLE,10/11vs. NYG,10/19vs. ARI,10/25vs. WAS,11/01vs. PHI,11/08vs. PIT,11/22vs. MIN,11/26vs. WAS,12/08vs. BAL,12/13vs. CIN,12/20vs. SFO,12/27vs. PHI,01/03vs. NYG
Chidobe Awuzie,,,O,IR,IR,IR,IR,IR,IR,IR,,,C19,C19,,
Blake Bell,,,,,,,,,,,,,,,Q,
Tyler Biadasz,,,,,,,,,,O,IR,IR,IR,,,
Anthony Brown,,Q,IR,IR,IR,,,,,,Q,Q,Q,,,
Ventell Bryant,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,
Deante Burton,,,,,,,,,,,,,,O,IR,IR
Maurice Canady,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
La'el Collins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Andy Dalton,,,,,,,,O,C19,C19,,,,,,
Trevon Diggs,,,,Q,,,,,,IR,IR,IR,IR,IR,,
Ezekiel Elliott,,,,,,,,,Q,,,,Q,Q,Q,
Cameron Erving,,IR,IR,IR,IR,IR,IR,,,,,O,IR,IR,IR,IR
Travis Frederick,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,
Randy Gregory,,,,,,,,,,Q,,,,,,
Stephen Guidry,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Justin Hamilton,,,,,,,,,,,,,,,,C19
Trysten Hill,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mitch Hyatt,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Blake Jarwin,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Jones,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Azur Kamara,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Knight,,,,,,,IR,IR,IR,IR,,,,,,
DeMarcus Lawrence,,,Q,,,,,,,Q,,,,,,
Sean Lee,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,
Jourdan Lewis,O,,,,,,,,,,,,,,,
Joe Looney,,,,,O,IR,IR,IR,,,,,,,,
Justin March,,,,,,,,,,,,,,IR,IR,IR
Zack Martin,,,,,,,O,,,,,O,IR,IR,IR,IR
Jamize Olawale,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Steven Parker,,,,,,,,,,,,IR,IR,IR,IR,IR
Dak Prescott,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rashard Robinson,,,,,,,,,,,,,,Q,O,O
Aldon Smith,,,,,,,,,Q,,,Q,,,,
Tyron Smith,,Q,Q,Q,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Joe Thomas,,,,,,,,,Q,,,,,,,
Darian Thompson,,,,,,,,,,,,,,,,Q
Leighton Vander Esch,,IR,IR,IR,IR,IR,,,,,,,,,O,O
Donovan Wilson,,,,,,,,,,,,Q,Q,,,
Antwaun Woods,,,,,,,,,,,,,,,IR,IR
Xavier Woods,,,,,,,,,,,,,,Q,O,Q
Greg Zuerlein,,,,,,,,,,,Q,,,,,
