Player,09/13vs. TAM,09/20vs. NYG,09/28vs. CAR,10/04vs. DEN,10/11vs. KAN,10/25vs. ATL,11/01vs. SEA,11/08vs. PHI,11/15vs. GNB,11/22vs. WAS,11/26vs. OAK,12/06vs. NYG,12/13vs. SDG,12/19vs. NOR,12/27vs. WAS,01/03vs. PHI,01/09vs. PHI,01/17vs. MIN
Flozell Adams,,,,P,P,,,,,,,,,,,,,D
Deon Anderson,,,,,,,Q,,,,,,P,P,P,,,
Miles Austin,,,,,,,,,,,,,,,,P,,
Marion Barber III,,,Q,P,P,P,P,P,P,P,P,,,,,,P,P
Martellus Bennett,,,,,,,,,,,,,O,O,P,,,
Robert Brewster,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP
Keith Brooking,,,,,,,,,,,P,,,,,,,
David Buehler,,,,,,,,,,P,P,,,,,,,
Victor Butler,,,,,,,,,,,,P,,,,,,
Tashard Choice,,,,,,,,,,,,,,,,,P,
Marc Colombo,,,,,,P,,,,Q,O,O,Q,O,Q,O,P,P
Leonard Davis,,,,,,P,,,,,,,,,,,,
Andre Gurode,,,,,P,P,,P,P,,,,,,,,,
Ken Hamlin,,,,,,,,,,O,O,O,D,P,,,,
Michael Hamlin,O,O,,O,O,O,,,,,,,,,O,,,
Stephen Hodge,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mike Jenkins,,,,,,,,,,P,P,,,,,,,
Curtis Johnson,D,P,,O,O,P,,,,,,,,,,,,
Felix Jones,,P,,O,D,P,,,,,,,,,,,,
Stephen McGee,O,P,O,,,,,,,,,,,,,,,
Terence Newman,,,,,,,,,,,,,P,P,P,P,P,
Jay Ratliff,,,,,,,P,P,,,,,,,,,,
Tony Romo,,P,,,,,,,,,P,P,,,,,,
Allen Rossum,,,,,,,O,O,O,D,Q,,,,,,,
Gerald Sensabaugh,,P,,,O,P,P,P,P,P,P,P,P,P,P,P,P,P
DeMarcus Ware,P,,,P,,P,P,P,P,P,P,P,,D,P,P,P,P
Pat Watkins,,,,,,,,,,,,,,O,O,O,D,P
Brandon Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jason Williams,O,O,O,P,P,,,,,,,,,,,,,
Roy Williams,,,,,D,P,,,,,,,,,,,,
Jason Witten,,,,,,,,,,,P,P,P,,,,,
