Player,09/19vs. LAC
Josh Ball,
Francis Bernard,
Rico Dowdle,
Neville Gallimore,
Michael Gallup,
Kelvin Joseph,
Damontae Kazee,Q
Sean McKeon,
Osirus Mitchell,
Ty Nsekhe,O
Sewo Olonilua,
Reggie Robinson II,
Malik Turner,
Donovan Wilson,O
