Player,09/08vs. NYG,09/15vs. WAS,09/22vs. MIA,09/29vs. NOR,10/06vs. GNB,10/13vs. NYJ,10/20vs. PHI,11/04vs. NYG,11/10vs. MIN,11/17vs. DET,11/24vs. NWE,11/28vs. BUF,12/05vs. CHI,12/15vs. LAR,12/22vs. PHI,12/29vs. WAS
Dorance Armstrong Jr.,,,,,,,Q,,,,,,,,,
Tavon Austin,,O,O,,,,,,,,,,,,,
Anthony Brown,,,,,,,O,Q,,,IR,IR,IR,IR,IR,IR
Noah Brown,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP
Ventell Bryant,,,,,,,,,,,,,,Q,,
Randall Cobb,,,,,,Q,Q,,,,,,,,,
La'el Collins,,,,,Q,Q,Q,,,Q,,,,,,
Amari Cooper,,,,,,,Q,,Q,,,,,,,
Tyrone Crawford,,,O,O,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cameron Fleming,,,,,,,,O,O,,,,,,,
Kavon Frazier,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Michael Gallup,,,O,O,Q,,,,,,,,,,,
Luke Gifford,O,O,O,Q,,,,,,,,,,,IR,IR
C.J. Goodwin,,,,,,,,,,,,,,,Q,
Jeff Heath,,,,,,,,,,Q,,Q,O,,,
Jalen Jelks,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jon'Vea Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Byron Jones,,,,,,,Q,,,,,,,,,Q
Sean Lee,,,,,,,,,,,,,,Q,,
Lance Lenoir,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Joe Looney,,,,,,,Q,,,,,,,,,
Zack Martin,,,,,,,Q,,,,,,,,,
Connor McGovern,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tony Pollard,,,,,,,,,,,,,Q,,,
Tyvis Powell,IR,,,,,,,,,,,,,,,
Derrick Puni,IR,IR,IR,IR,,,,,,,,,,,,
Adam Redmond,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Daniel Ross,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jameill Showers,IR,IR,,,,,,,,,,,,,,
Devin Smith,,,,,,,,,,,,,,,Q,
Tyron Smith,,,,,O,Q,Q,,,,,,,,,Q
Xavier Su'a-Filo,,,,,,,,,,,,,,,,IR
Joe Thomas,,,,,,,,,,,Q,,,,Q,O
Darian Thompson,O,,,,,,,,,,,,,,,
Leighton Vander Esch,,,,,,,,Q,,,O,O,O,O,O,IR
Chris Westry,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cody Wichmann,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Connor Williams,,,,,,,,,,O,Q,,IR,IR,IR,IR
Cedrick Wilson Jr.,,,,,,,,,,,,,,IR,IR,IR
Donovan Wilson,O,,,,,,,,,,Q,,,,,
Antwaun Woods,,,O,O,Q,,,,,,,O,O,,,Q
Xavier Woods,,,O,,,,,,,,,,,,,
