Player,09/09vs. CAR,09/16vs. NYG,09/23vs. SEA,09/30vs. DET,10/07vs. HOU,10/14vs. JAX,10/21vs. WAS,11/05vs. TEN,11/11vs. PHI,11/18vs. ATL,11/22vs. WAS,11/29vs. NOR,12/09vs. PHI,12/16vs. IND,12/23vs. TAM,12/30vs. NYG,01/05vs. SEA,01/12vs. LAR
Tavon Austin,,,,,,,O,O,O,O,O,O,O,Q,Q,,,
Chidobe Awuzie,Q,,,,Q,Q,Q,,,,,,,,,,,
Cole Beasley,,,Q,Q,,,,,,,,,,,,,,Q
Anthony Brown,,,,,,,,,,,,,,,Q,Q,,
Noah Brown,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,
Brice Butler,,,,,,Q,,,,,,,,,,,,
Maliek Collins,,,O,O,Q,Q,,,,Q,Q,Q,,,,,,Q
Tyrone Crawford,,,,,,,,,,,,,,,,O,,
Parker Ehinger,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kavon Frazier,Q,,,,,,,,,,,,,,,,,
Travis Frederick,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Michael Gallup,,,,,,,,,,,,,Q,,,,,
C.J. Goodwin,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Randy Gregory,,D,,,,Q,,Q,Q,,,,,Q,,,,
Allen Hurns,,,,,,,,,,,,,,,,,,IR
David Irving,,,,,,,,O,O,O,O,O,O,O,O,O,,O
Blake Jarwin,,,,,,,,,,,,,,,,,,Q
Datone Jones,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
DeMarcus Lawrence,,,,,,Q,,,,,,,,,,,,
Sean Lee,,,Q,O,O,O,,,O,O,O,O,O,Q,Q,Q,,
Lance Lenoir,,,,,,,,,,,,,,Q,,,,
Marcus Martin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Zack Martin,,,,,,,,Q,,Q,Q,Q,,O,Q,Q,,
Adam Redmond,,,,,,,,,,,O,,,,,,,
Daniel Ross,,,,,,,,,,O,,,,,,,,
Jameill Showers,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tyron Smith,,,,,,,,,,,Q,Q,Q,Q,,Q,,
Xavier Su'a-Filo,,,,,,,,,,,,Q,,,,,,Q
Geoff Swaim,,,,,,,,D,Q,,IR,IR,IR,IR,O,IR,IR,IR
Joe Thomas,,,,,,O,O,O,O,Q,Q,,,,,,,
Darian Thompson,,,,,,,,,,,,,,,,,,Q
Deonte Thompson,,,,,,Q,,,,,,,,,,,,
Connor Williams,,,,,,,,,O,Q,Q,,,,,,,
Terrance Williams,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cedrick Wilson Jr.,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Antwaun Woods,,,,Q,Q,,,,,D,Q,,,,,,,
Xavier Woods,O,O,Q,,,,,,,,,,,,,,,
