Player,09/11vs. JAX,09/18vs. MIN,09/25vs. DET,10/09vs. NYG,10/16vs. DAL,10/20vs. CHI,10/30vs. ATL,11/06vs. IND,11/13vs. TEN,11/20vs. WAS,11/28vs. PHI,12/04vs. HOU,12/11vs. SEA,12/18vs. CHI,12/24vs. MIN,01/01vs. DET,01/08vs. NYG,01/15vs. DAL,01/22vs. ATL
Jared Abbrederis,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Davante Adams,,,,,,Q,,,,,,,,,,,,,Q
Geronimo Allison,,,,,,,,,,,,,,,,,,,Q
Kennard Backman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Banjo,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,IR,IR,IR
Don Barclay,,,,,,,,,,,Q,,,,,,,,
Bryan Bulaga,,,,,,,,,,,,,,,,,Q,,
Morgan Burnett,,,Q,,,,,,,,,,,,,,,,Q
Randall Cobb,,,,,,,Q,Q,,,,,,Q,Q,Q,Q,,
John Crockett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Trevor Davis,D,Q,,,,,,,,,,,,,,,,,
Makinton Dorleant,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,IR,IR,IR
Jayrone Elliott,D,D,,,,,,,,,,,,,O,Q,Q,Q,
Kyler Fackrell,,,,,,,,,,,O,O,O,Q,,,,,
Jacob Flores,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Demetri Goodson,,,,,,,,Q,,,IR,O,IR,IR,IR,IR,IR,IR,IR
Letroy Guion,,,Q,,,,,,,,,,,,,,,,
Ladarius Gunter,,,,,,,,,,,,,Q,,,,,,
Josh Hawkins,O,O,,,,,,,,,,,,,,,,,
Don Jackson,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jeff Janis,Q,,,,,,,,,,,,,,,,,Q,
Tyler Kuder,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Eddie Lacy,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Corey Linsley,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,
Blake Martinez,,,,,,,,,,,O,Q,Q,Q,,,,,
Clay Matthews,,,Q,,,,Q,Q,O,Q,,Q,Q,,,,,,
Christine Michael,,,,,,,,,Q,,,,,Q,,,,,Q
Ty Montgomery,,,,,,,Q,,,,,,,,,,,,
Jordy Nelson,,,,,,,,,,,,,,,,,,O,Q
Nick Perry,,,,,,,,,,,,,O,D,Q,,Q,,
Damarious Randall,,,,Q,Q,O,O,O,O,O,Q,Q,Q,Q,Q,Q,Q,Q,
Aaron Ripkowski,,,,,,,,,,,,,,Q,,,Q,,
Aaron Rodgers,,,,,,,,,,,,Q,,Q,,,,,
Quinten Rollins,,,,,Q,O,O,Q,,,,,,,,,O,Q,Q
Jake Ryan,,,,,,,,,,O,Q,Q,,,,,,,
Sam Shields,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
James Starks,,,,,Q,O,O,O,Q,,,,,D,O,O,O,O,O
Kyle Steuck,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Joe Thomas,,,,,,,,,,,,,,,,Q,Q,,
J.C. Tretter,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
