Player,09/10vs. SEA,09/17vs. ATL,09/24vs. CIN,09/28vs. CHI,10/08vs. DAL,10/15vs. MIN,10/22vs. NOR,11/06vs. DET,11/12vs. CHI,11/19vs. BAL,11/26vs. PIT,12/03vs. TAM,12/10vs. CLE,12/17vs. CAR,12/23vs. MIN,12/31vs. DET
Davante Adams,,,,,Q,,,,,,,,,,O,O
Montravius Adams,IR,Q,,IR,IR,IR,IR,,,IR,,IR,,IR,,
Geronimo Allison,,,,,,,,,,,,,,,,Q
David Bakhtiari,,Q,D,D,Q,Q,,,,,,,,,,
Don Barclay,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR
Martellus Bennett,,,,,,,,D,,,,,,,,
Vince Biegel,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,
Kentrell Brice,,Q,D,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ahmad Brooks,,D,,,Q,D,O,D,Q,Q,,Q,,,,
Bryan Bulaga,Q,Q,Q,D,Q,Q,,,IR,O,IR,IR,IR,IR,IR,IR
Morgan Burnett,,,,,,O,O,,O,O,Q,,,,,
Kenny Clark,,,,,,,,,,,D,Q,,,,
Randall Cobb,,,D,,,,,,,,,,,,,
Mike Daniels,,Q,D,Q,Q,,,,,,,,,,,
Quinton Dial,,,,,,,,D,O,Q,,,Q,,,
Jahri Evans,,,,,,,,,,,,,,,Q,O
Brett Goode,,,,IR,IR,IR,IR,IR,IR,,,,,,,
Antwan Goodley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Demetri Goodson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,O,IR
Davon House,,,D,O,Q,Q,Q,,,,,,D,O,Q,
Ulrick John,,,,,,,,,,,,,,,,Q
Aaron Jones,,,,,,,,,,O,O,Q,,,,O
Kevin King,,,,,,D,,,,Q,Q,IR,IR,IR,IR,IR
Corey Linsley,,,,,,,Q,,,,Q,,,,,
Clay Matthews,,,,,,,,,,,Q,Q,,,Q,Q
Devante Mays,,,,,,,,,,,Q,,,,,
Justin McCray,,,,,,,,,Q,,,,,,,
Ty Montgomery,,,,,D,Q,,,,IR,IR,O,IR,IR,IR,IR
Kyle Murphy,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jordy Nelson,,,Q,,,,,,,,,,,,,O
Lucas Patrick,,,,,,,,,,Q,Q,Q,Q,,,
Taybor Pepper,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Nick Perry,,,D,Q,,,,,,,,,Q,Q,IR,O
Damarious Randall,,,,,,,Q,Q,,,,,,,,Q
Aaron Rodgers,,,,,,,IR,IR,IR,IR,IR,IR,IR,,IR,IR
Richard Rodgers,,,,,,,,,,,,,,,,O
Quinten Rollins,,,,,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jake Ryan,,,D,,,,,,,,,,,Q,,
Beau Sandland,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jason Spriggs,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,Q,,IR
Lane Taylor,,,,,,,D,Q,,,,,,,,
Joe Thomas,,,,,O,O,O,O,Q,,,,,,,
Herb Waters,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
