Player,09/13vs. MIN,09/20vs. DET,09/27vs. NOR,10/05vs. ATL,10/18vs. TAM,10/25vs. HOU,11/01vs. MIN,11/05vs. SFO,11/15vs. JAX,11/22vs. IND,11/29vs. CHI,12/06vs. PHI,12/13vs. DET,12/19vs. CAR,12/27vs. TEN,01/03vs. CHI,01/16vs. LAR,01/24vs. TAM
Davante Adams,,,D,Q,,,,,,,,,,,,,,
Montravius Adams,D,Q,,,Q,Q,,,,D,IR,IR,IR,IR,IR,IR,IR,IR
Jaire Alexander,,,,Q,,,,,D,,,,,,,,,
David Bakhtiari,,,,,,D,Q,Q,,,,,,,,IR,IR,IR
Krys Barnes,,,,,,,,,C19,C19,C19,Q,,,,,,
Chris Blair,,,,,,,,,,,,,,,,,/,/
James Burgess,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Kenny Clark,,O,Q,Q,,,,,,,,,,,,,,
Mason Crosby,,,,,,,Q,,,,,,,,,,,
Josiah Deguara,,Q,D,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
AJ Dillon,,,,,,,,C19,C19,C19,C19,C19,C19,,,,,
Kabion Ento,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tyler Ervin,,,,Q,O,O,Q,,,O,Q,Q,IR,IR,IR,IR,IR,IR
Devin Funchess,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Innis Gaines,,,,,,,,,,,,,,,,,/,/
Rashan Gary,,,,Q,Q,,,,,,,,,,,,,
Raven Greene,Q,Q,,,,,Q,Q,,,,,,,,,,
Ka'dar Hollman,,,,,,,,,,Q,,,,,,,,
Josh Jackson,,,,,,,,,,,Q,,,,,,,
Elgton Jenkins,,,Q,,,,,,,,,,,,,,,
Aaron Jones,,,,,,Q,O,Q,,,,,,,,,,
Bronson Kaufusi,,,,,,,,,,,,,,,,,/,/
Kingsley Keke,,,,,,,,,,,,,,,,O,D,O
Kevin King,,,,,Q,D,O,O,Q,Q,Q,,,,,,,Q
Christian Kirksey,,,,IR,IR,IR,IR,IR,IR,,,,,,,,,
Tyler Lancaster,,,,,,O,Q,,,,,,,,,,,
Allen Lazard,,,,O,IR,IR,IR,IR,IR,Q,,,,,,,,
Marcedes Lewis,,,,D,,,,,,,,,,,,,,
Corey Linsley,,,,Q,,Q,,,,,Q,IR,IR,IR,IR,,,
Jordan Love,,,,,,,,C19,C19,,,,,,,,,
John Lovett,,,,,,,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kamal Martin,IR,IR,IR,IR,IR,IR,,C19,C19,,,,,,,,,
Parry Nickerson,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Lucas Patrick,,Q,,,,,,,,,,,,,,,,
Randy Ramsey,O,O,D,,,,,,,,,,,,,,,
Will Redmond,,,,,,,,O,Q,Q,,,,,O,,,
Darnell Savage Jr.,,,Q,,,D,Q,,,,,,Q,,,,,
JK Scott,,,,Q,,,,,,Q,,,,,,,,
Vernon Scott,,,,,,,,O,Q,,,,,,,,,
Darrius Shepherd,,,,,,,,,Q,Q,,,,,,,,
Preston Smith,,,,,,Q,,,,,,,,,,,,
Za'Darius Smith,,,,Q,Q,,,,,,,Q,,,,,,
Equanimeous St. Brown,,O,,,,,,,Q,Q,Q,,Q,,,,,
Simon Stepaniak,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,O,O,D,Q,IR,IR
Jace Sternberger,,,,,,,,,,,,,O,O,O,,,
Lane Taylor,,O,,,,,,,,IR,,,,,,,,
Malik Taylor,,,,,,,,,,,,,Q,Q,,,,
Patrick Taylor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Robert Tonyan,,,,,,Q,,,Q,,,,,,,,,
Billy Turner,D,Q,,,,,,,,,,,,,,,,
Marquez Valdes-Scantling,,,,,,,,,,,Q,,,,,,,
Jared Veldheer,,,,,,,,,,,,,,,,,C19,C19
Ricky Wagner,,,,,,,,Q,Q,,,,,,,,,
Ray Wilborn,,,,,,,,,,,,,,,,,/,/
Jamaal Williams,,,,,,,,C19,C19,,,,,,D,,,
Billy Winn,,,,,,,,,,,,,IR,IR,IR,IR,IR,IR
