,Division Placement,Points For,Points for Per Game,Points For Ranking,Points Against,Points Against Per Game,Points Against Ranking,Expected Wins,Expected Losses,Team Rating SRS,SRS rank,Strength of Schedule
1996,5,371,23.2,6,441,27.6,28,6.4,9.6,-2.94,23,1.44
1997,5,326,20.4,16,345,21.6,18,7.5,8.5,-0.60,17,.59
1998,4,269,16.8,26,335,20.9,16,6.0,10.0,-5.38,24,-1.26
1999,3,324,20.3,14,277,17.3,6,9.5,6.5,.92,19,-2.02
2000,2,333,20.8,14,165,10.3,1,13.5,2.5,8.02,3,-2.48
2001,2,303,18.9,18,265,16.6,4,9.3,6.7,3.21,10,.83
2002,3,316,19.8,23,354,22.1,19,6.9,9.1,-2.12,22,.26
2003,1,391,24.4,8,281,17.6,6,11.0,5.0,6.26,6,-0.61
2004,2,317,19.8,20,268,16.8,6,9.6,6.4,6.12,7,3.06
2005,3,265,16.6,25,299,18.7,10,6.9,9.1,-1.84,18,.29
2006,1,353,22.1,12,201,12.6,1,12.7,3.3,9.35,3,-0.15
2007,4,275,17.2,24,384,24.0,22,5.0,11.0,-6.74,28,.07
2008,2,385,24.1,11,244,15.3,3,11.9,4.1,9.81,1,.99
2009,2,391,24.4,9,261,16.3,3,11.6,4.4,7.48,4,-0.65
2010,2,357,22.3,16,270,16.9,3,10.6,5.4,6.44,5,1.01
2011,1,378,23.6,12,266,16.6,3,11.2,4.8,6.10,5,-0.90
2012,1,398,24.9,10,344,21.5,12,9.4,6.6,2.91,12,-0.47
2013,3,320,20.0,25,352,22.0,12,7.1,8.9,-3.53,23,-1.53
2014,3,409,25.6,8,302,18.9,6,10.8,5.2,4.61,8,-2.08
2015,3,328,20.5,25,401,25.1,24,6.1,9.9,-1.94,19,2.62
2016,2,343,21.4,21,321,20.1,9,8.6,7.4,1.54,15,.16
2017,2,395,24.7,9,303,18.9,6,10.4,5.6,3.40,12,-2.35
2018,1,389,24.3,13,287,17.9,2,10.8,5.2,7.02,4,.65
2019,1,531,33.2,1,282,17.6,3,13.1,2.9,15.62,1,.05
2020,2,468,29.3,7,303,18.9,2,11.8,4.2,8.27,3,-2.04
2021,1,63,31.5,4,68,34.0,29,0.9,1.1,34.45,4,36.95
