Player,09/09vs. ATL,09/16vs. BUF,09/23vs. NOR,09/30vs. SDG,10/07vs. BAL,10/14vs. TAM,10/28vs. OAK,11/01vs. SDG,11/12vs. PIT,11/18vs. CIN,11/25vs. DEN,12/02vs. CAR,12/09vs. CLE,12/16vs. OAK,12/23vs. IND,12/30vs. DEN
Branden Albert,,,,,,,,,Q,,D,Q,Q,Q,Q,Q
Jeff Allen,,,,,,,,,P,,,,P,,,
Javier Arenas,,,P,,,,,,P,,,,,,P,
Jon Asamoah,,,,,,,,,,O,P,,,P,P,P
Allen Bailey,D,O,P,,,,,,,,,,IR,IR,IR,IR
Jonathan Baldwin,,,,,P,Q,,,,D,P,,,,P,
Jovan Belcher,Q,,,,,,,,,,,,,,,
Josh Bellamy,,,,,,,,,,,,,,,P,Q
Eric Berry,,,,,,,,,,,,,Q,P,P,P
Kevin Boss,,Q,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dwayne Bowe,,,,Q,,,,,,,P,,Q,O,IR,IR
Steve Breaston,,,P,Q,,,,,,,,,,,,
Jalil Brown,Q,P,P,,D,P,Q,,,,,,,,,Q
Matt Cassel,,,,,,D,P,,,,,,,,,
Jamaal Charles,,,P,,,,,,P,,,,,,,P
Terrance Copper,,,,,,Q,,Q,P,,,,,,P,IR
Glenn Dorsey,,,,Q,O,O,Q,,IR,IR,IR,IR,IR,IR,IR,IR
Shaun Draughn,,,,,,P,,,,,,,,,,
Nate Eachus,,,,,,,,O,P,,,,,,,
Abram Elam,,,,,,,,,,,,,D,D,Q,P
Brandon Flowers,Q,P,,,P,,,,,,,Q,Q,Q,P,
Cyrus Gray,,,,,,Q,,,,,,,,P,Q,
Cory Greenwood,,,,,,,,,,,,,,,,P
Tamba Hali,,,,,,,,,,,,Q,P,,,P
Peyton Hillis,,,Q,D,D,O,P,,,,,,,,,
Russ Hochstein,,,,,,,,,,,,,Q,D,Q,P
Rodney Hudson,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tyson Jackson,,,,,,,,,,,,,,,,D
Derrick Johnson,Q,,,,P,,,,,,,Q,Q,P,,
Kendrick Lewis,D,O,Q,Q,Q,P,,,,,,D,Q,P,,Q
Ryan Lilja,,,Q,P,P,P,,,Q,Q,Q,Q,P,Q,P,P
Steve Maneri,,,,,,,Q,,Q,P,P,,,,,
Kyle McCarthy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dexter McCluster,,,Q,Q,,,,,,,Q,P,,,,Q
DeQuan Menzie,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tony Moeaki,,,,,,,,,,,P,,,,D,Q
Jake O'Connell,,,Q,P,,,,,,IR,IR,IR,IR,IR,IR,IR
Ropati Pitoitua,,,,,Q,P,,,,,,,,,,
Dontari Poe,,,,,,,,,,P,,,,,,
Jerrell Powe,,,,,,,,,,,,,,,Q,
Brady Quinn,,,,,,,Q,O,O,P,,,,,P,
Rich Ranglin,,,,,,,,,,,,,,,Q,P
Jacques Reeves,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Stanford Routt,,,,,,,,Q,,,,,,,,
Martin Rucker,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Donald Stephenson,,,,,,,,,,,,,,,,P
Alex Tanney,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Neiko Thorpe,,,,,,,,,,,,,,,P,
Anthony Toribio,D,O,Q,Q,,,,,,,,,,,,
Devon Wylie,,D,O,Q,O,O,P,O,P,,,,,,,
