Player,09/08vs. ARI,09/15vs. ATL,09/22vs. DAL,09/26vs. SFO,10/06vs. JAX,10/13vs. HOU,10/20vs. CAR,10/28vs. SEA,11/03vs. TEN,11/10vs. IND,11/24vs. CHI,12/01vs. SFO,12/08vs. ARI,12/15vs. NOR,12/22vs. TAM,12/29vs. SEA
C.J. Atkins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tavon Austin,,,,,,,,,,,,,,O,D,D
Daren Bates,,,,,,,P,,,,,,P,,,
Sam Bradford,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kellen Clemens,,,,,,,,,P,,,,,,,
Matt Conrath,,,,,Q,P,,,,,,,,,,
Benny Cunningham,,,,,,,O,Q,P,,,,,,,
Harvey Dahl,,,,,,,,,O,O,O,Q,P,Q,,
Matt Daniels,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cortland Finnegan,,,P,Q,D,D,D,Q,,,D,IR,IR,IR,IR,IR
Matt Giordano,,,,,,,,,,,P,,,,,
Chris Givens,,,,Q,,,,,,,,,,,,
Cory Harkey,O,P,,,,,,,,,,,,,,
William Hayes,,,P,Q,D,Q,,,,,,,,,,
Janoris Jenkins,,,,,,,,,,,,,,Q,P,
Trumaine Johnson,,,,,Q,,,,,,,P,,,,
Lance Kendricks,,,,,,,,,,D,,,,,,
James Laurinaitis,,,,P,,,,,,,,,,,,
Chris Long,,P,P,,,,P,,,,,,,,,P
Jake Long,,,,P,,,,,P,,,,P,,D,IR
T.J. McDonald,,,,P,IR,IR,IR,IR,IR,IR,IR,Q,,,,Q
Brandon McGee,,,,,P,,,,P,,,Q,Q,P,,
Mike McNeill,,,Q,Q,,,,,,,,,,,,
Isaiah Pead,,P,,,,,,,,,,,,,,
Michael Person,,,,,,,,,,,,,,,P,Q
Austin Pettis,,,,,,,,,P,,,,,,,
Quinton Pointer,O,O,Q,,,,,,,,,,,,,
Brady Quinn,,,,,,,,,O,D,IR,IR,IR,IR,IR,IR
Robert Quinn,,,,,,,,,Q,,,,,,,
Chase Reynolds,,,,,,,,,,,P,,,,,
Daryl Richardson,,P,P,Q,,,,,O,Q,,,,Q,Q,D
Rodger Saffold,Q,,D,Q,O,Q,,,,,,,,,,
Eugene Sims,,,P,Q,,,,,,,,P,P,,,
Zac Stacy,,,,,,Q,P,,D,P,,D,,,,
Phillip Steward,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Darian Stewart,O,D,Q,,,,P,,P,,P,,,,,
Jonathan Stewart,O,,,,,,,,,,,,,,,
Scott Wells,,,,,,,,Q,P,,,,O,IR,IR,IR
Chris Williams,,,P,Q,,,,,,,,P,,,,
Will Witherspoon,,,,,P,,,,,,,,,,P,
