Player,09/13vs. JAX,09/20vs. HOU,09/27vs. NOR,10/04vs. TAM,10/18vs. SEA,10/25vs. PHI,11/02vs. IND,11/08vs. GNB,11/15vs. TEN,11/22vs. WAS,11/26vs. DAL,12/06vs. NOR,12/13vs. ATL,12/20vs. NYG,12/27vs. ATL,01/03vs. TAM,01/17vs. SEA,01/24vs. ARI,02/07vs. DEN
Mario Addison,,,,,,,O,P,,,,O,P,,,,,,
Jared Allen,,,,,O,P,,,,P,,,P,P,,,,O,
Kelvin Benjamin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Bene Benwikere,,,,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Brenton Bersin,,,,,,,,,,,,,D,P,,,,,
Richie Brockel,O,Q,P,,IR,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Corey Brown,,,,P,,,,,,D,Q,P,,,,,,,
Nate Chandler,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kurt Coleman,,,,,,,,,,,,,,,,D,,,
Jerricho Cotchery,,,O,O,P,,,,,,,,P,P,,,,,
Thomas Davis,,,,P,,,P,,,,,,P,P,,P,,,
Ed Dickson,,,,,,,,P,P,,,,,,,,,,
Kony Ealy,,,,,,,,,,,,P,,,,,P,,
Dwan Edwards,,P,,P,,O,O,O,Q,P,P,P,P,P,,,,P,
Ted Ginn Jr.,,,,,,,,,,,P,,P,P,P,D,Q,,
Tyronne Green,,,,,,,,,,,,,,,,,,IR,IR
Roman Harper,,,P,,,,,,,,,,P,P,,,,,
Stephen Hill,,,,,,,,,,,,,,,,,,IR,IR
Wes Horton,,Q,P,,,,,,,,,,,,,,,,
J.J. Jansen,,,,,,,,,,,P,,,,,,,,
Charles Johnson,,,Q,IR,IR,IR,IR,IR,IR,IR,,,,,P,,,P,
Colin Jones,,,,,,,,,,,,,,D,,,,,
Ryan Kalil,P,,,,,,D,P,P,,,,P,P,,P,,,
A.J. Klein,,,,,O,P,,,,,,,,,,,,,
Luke Kuechly,,D,D,O,P,,,,P,,,,,,,,,,
Star Lotulelei,O,Q,P,,,,,,,,,P,,,,P,,,
Kyle Love,,,P,,,,,,,,,,,,Q,,,,
David Mayo,,,,,,,,,,,,,,O,O,P,,,
Arthur Miley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cam Newton,,,,,,,,,,,,,,,P,,,,
Josh Norman,P,,,P,,,,P,,,,,,,,,,,
Andrew Norwell,,,,,,,,O,O,O,P,,,,,,,,
Greg Olsen,,,,,,,,,,,,,P,P,,,,,
Amini Silatolu,,,,O,Q,,,,,,,,,,,,,IR,IR
Jonathan Stewart,,P,Q,P,,,,,P,,,,P,O,O,O,,P,
Shaq Thompson,,,,,,O,D,P,,,,,,,,,,,
Charles Tillman,,,,P,,,,,,D,D,O,D,P,,,IR,IR,IR
Mike Tolbert,,,,P,,,P,,,,,,,,,,,,
Trai Turner,,,P,,,,,,,,,,,,,,,,
Fernando Velasco,,,,,,,,P,,,,,,,,,,,
Fozzy Whittaker,,,Q,,,,,,,P,,,,,,O,O,P,
Daryl Williams,,O,O,O,O,O,P,,,,,,,,,,,,
Teddy Williams,P,,,,,P,,P,,,,,,,,,,,
