Player,09/09vs. TAM,09/16vs. NOR,09/20vs. NYG,09/30vs. ATL,10/07vs. SEA,10/21vs. DAL,10/28vs. CHI,11/04vs. WAS,11/11vs. DEN,11/18vs. TAM,11/26vs. PHI,12/02vs. KAN,12/09vs. ATL,12/16vs. SDG,12/23vs. OAK,12/30vs. NOR
Joe Adams,,,,,,,,,,,,,,,,P
Frank Alexander,,,,,P,,,Q,P,,,,,,,
James Anderson,,,,,,,,,,,,Q,Q,Q,,P
Antwan Applewhite,,,,D,P,Q,O,D,D,O,O,D,,,,
Thomas Austin,,,,,,,,,,,,,,,P,
Jon Beason,P,,P,Q,D,D,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Byron Bell,,,Q,P,,,,,,,,,,,P,
Jeff Byers,O,P,,,,,,,,,,,Q,P,,
Thomas Davis,,,Q,Q,,,,P,P,P,,,,P,,
Armanti Edwards,,,,,,,,,,D,,,,,,
Dwan Edwards,,,,,,,Q,Q,P,P,,,Q,O,P,
Ron Edwards,,,,,,,,,,,,IR,IR,IR,IR,IR
Chris Gamble,,,,P,D,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
David Gettis,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,P,,,,,,,
Charles Godfrey,,,,,,,,,,,,,Q,P,,
Geoff Hangartner,,,,,Q,P,,P,P,P,P,,,O,D,Q
Greg Hardy,,Q,,Q,,,,,,,P,,,,,O
Ben Hartsock,,,,,,,P,P,,,,,,,,
Brandon Hogan,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,
Charles Johnson,,,,,,,P,,P,,,,,P,,
Colin Jones,,,Q,P,P,P,,,,,P,,,Q,,
Ryan Kalil,,,P,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Frank Kearse,,Q,Q,,,,,,,,,,,,,
Thomas Keiser,,,,P,,,D,Q,P,IR,IR,IR,IR,IR,IR,IR
Brandon LaFell,,,,,,,Q,D,Q,,,,D,Q,P,P
Sherrod Martin,,,,,,,,,,,,,IR,IR,IR,IR
Captain Munnerlyn,,,,,,,P,,,,,Q,,,,
Louis Murphy,,,,,,,,,,,,,,P,,
Haruki Nakamura,,,,,,,,,,,,,,IR,IR,IR
Andre Neblett,,,,,P,P,,,,,,,,,,
Nate Ness,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cam Newton,,,,,,,,,,,,P,,,,
Greg Olsen,,,,,,,,,,,,,P,,,
Kenny Onatolu,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kealoha Pilares,,,P,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Mike Pollak,,D,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tauren Poole,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jordan Senn,,,,,,,,,,,P,,,,,
Amini Silatolu,,,,,,,,,,P,,,,,,IR
Steve Smith,P,P,P,,,,,,,Q,P,,,,,
Jonathan Stewart,Q,P,Q,P,,,,,,Q,Q,D,D,D,Q,D
Mike Tolbert,,,,,,,,,,,,,,,,
Zack Williams,,,,,,,,,,,,,,,IR,IR
Lee Ziemba,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
