Player,09/14vs. PIT,09/20vs. CHI,09/27vs. SFO,10/04vs. LAR,10/11vs. DAL,10/18vs. WAS,10/22vs. PHI,11/02vs. TAM,11/08vs. WAS,11/15vs. PHI,11/29vs. CIN,12/06vs. SEA,12/13vs. ARI,12/20vs. CLE,12/27vs. BAL,01/03vs. DAL
Saquon Barkley,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Sam Beal,,,,,,,,,,,IR,IR,IR,IR,IR,IR
C.J. Board,,,,,,,O,Q,,,,,,,,
James Bradberry,,,,,,,,,,,,,,C19,,
Cam Brown,,,,,,,,,,,,,,,,Q
Lorenzo Carter,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Adrian Colbert,,O,D,,Q,Q,O,O,IR,IR,IR,IR,IR,IR,,
Cody Core,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Carter Coughlin,,Q,,,,,,,,,,,,,,
Tae Crowder,Q,,,,,,IR,IR,IR,IR,IR,,,,,
Evan Engram,,,,,,,,,,,,,,Q,,
Kyler Fackrell,,,,,Q,,,,,,IR,IR,IR,IR,IR,IR
Devonta Freeman,,,,,,,,O,O,O,IR,IR,C19,C19,IR,IR
Graham Gano,,,,,,,,,,,C19,,,,,
Madre Harper,,,,,,,,,,,,,O,IR,IR,IR
Will Hernandez,,,,,,,,C19,C19,C19,,,,,,
Darnay Holmes,,,,,,,Q,,,,,,Q,O,Q,
Daniel Jones,,,,,,,,,,,,D,Q,Q,Q,
Jaquarius Landrews,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Dexter Lawrence,,,,,,Q,,,,,,,,,,
Ryan Lewis,,,,,,,,,O,IR,IR,IR,IR,IR,IR,IR
Julian Love,,,,Q,,,,,,,,,,,,
Blake Martinez,,,,,,,,,,,,,Q,,Q,
David Mayo,IR,IR,IR,IR,IR,IR,,,,,,Q,,,,
Xavier McKinney,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,
Matt Peart,,,,,,,,,,,C19,,Q,,,
Elijhaa Penny,,,,,,,,,,,,,,,,O
Jabrill Peppers,,,,O,Q,,,,,,,,,,,
Dante Pettis,,,,,,,,,,,C19,,,,,
Da'Mari Scott,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Sterling Shepard,,,IR,IR,IR,IR,IR,,,,,,,,,
David Sills,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Darius Slayton,,,,,,Q,,,,,,,,,,
Kaden Smith,,,,,,,,,,,C19,,,Q,,
Nate Solder,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Golden Tate,Q,Q,,,,,,,,Q,,,,,O,D
Shakial Taylor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Levine Toilolo,Q,,,,,,,,,,,,,,,
Brandon Williams,,,Q,IR,IR,IR,IR,IR,IR,,Q,,,,,
Nate Wozniak,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,
Oshane Ximines,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Isaac Yiadom,,,,,,,,,,Q,,,,,,
