,Division Placement,Points For,Points for Per Game,Points For Ranking,Points Against,Points Against Per Game,Points Against Ranking,Expected Wins,Expected Losses,Team Rating SRS,SRS rank,Strength of Schedule
1960,3,296,21.1,7,303,21.6,3,6.8,7.2,-0.44,11,.06
1961,4,294,21.0,6,342,24.4,4,5.8,8.2,-3.00,16,.43
1962,3,309,22.1,6,272,19.4,3,8.0,6.0,2.31,9,-0.33
1963,1,304,21.7,5,291,20.8,5,7.4,6.6,.81,13,-0.12
1964,1,400,28.6,1,242,17.3,1,10.7,3.3,9.88,2,-1.41
1965,1,313,22.4,3,226,16.1,1,9.6,4.4,5.44,6,-0.78
1966,1,358,25.6,2,255,18.2,1,9.7,4.3,7.12,6,-0.23
1967,3,237,16.9,8,285,20.4,4,5.5,8.5,-3.66,19,-0.23
1968,5,199,14.2,10,367,26.2,8,2.7,11.3,-10.81,24,1.19
1969,3,230,16.4,10,359,25.6,9,3.6,10.4,-8.34,25,.88
1970,4,204,14.6,23,337,24.1,23,3.3,10.7,-12.29,25,-2.79
1971,5,184,13.1,26,394,28.1,26,2.0,12.0,-13.45,26,1.55
1972,4,257,18.4,19,377,26.9,24,4.0,10.0,-7.20,22,1.37
1973,2,259,18.5,15,230,16.4,10,8.0,6.0,.35,13,-1.72
1974,2,264,18.9,12,244,17.4,12,7.7,6.3,1.05,12,-0.38
1975,3,420,30.0,1,355,25.4,21,8.4,5.6,7.06,6,2.42
1976,5,245,17.5,20,363,25.9,24,4.0,10.0,-9.22,24,-0.79
1977,4,160,11.4,26,313,22.4,25,2.4,11.6,-7.93,25,3.00
1978,4,302,18.9,11,354,22.1,24,6.5,9.5,-3.27,23,-0.02
1979,4,268,16.8,23,279,17.4,8,7.6,8.4,-0.24,15,.45
1980,1,320,20.0,12,260,16.3,3,9.9,6.1,3.94,8,.19
1981,3,311,19.4,20,276,17.3,6,9.1,6.9,1.33,15,-0.86
1982,4,150,16.7,19,154,17.1,6,4.4,4.6,1.46,10,1.91
1983,3,283,17.7,23,351,21.9,18,6.0,10.0,-3.78,24,.47
1984,5,250,15.6,25,454,28.4,27,3.1,12.9,-12.02,28,.73
1985,5,200,12.5,28,381,23.8,20,2.9,13.1,-9.78,27,1.54
1986,4,287,17.9,20,348,21.8,20,6.2,9.8,-5.84,24,-2.02
1987,4,270,18.0,24,305,20.3,12,6.4,8.6,-0.19,14,2.14
1988,1,329,20.6,14,237,14.8,3,11.0,5.0,6.36,4,.61
1989,1,409,25.6,3,317,19.8,14,10.3,5.7,4.31,9,-1.44
1990,1,428,26.8,1,263,16.4,6,12.2,3.8,8.65,1,-1.67
1991,1,458,28.6,2,318,19.9,19,11.3,4.7,3.57,8,-5.18
1992,2,381,23.8,3,283,17.7,14,10.7,5.3,4.26,8,-1.87
1993,1,329,20.6,7,242,15.1,5,10.8,5.2,4.80,5,-0.64
1994,4,340,21.3,11,356,22.3,22,7.6,8.4,-0.24,13,.76
1995,1,350,21.9,13,335,20.9,12,8.4,7.6,-0.90,16,-1.83
1996,2,319,19.9,15,266,16.6,6,9.7,6.3,2.88,7,-0.43
1997,4,255,15.9,29,367,22.9,23,4.7,11.3,-4.51,25,2.49
1998,3,400,25.0,7,333,20.8,15,9.7,6.3,5.17,7,.98
1999,2,320,20.0,16,229,14.3,2,11.0,5.0,7.14,2,1.45
2000,4,315,19.7,20,350,21.9,18,7.0,9.0,-0.02,20,2.17
2001,5,265,16.6,27,420,26.3,29,4.0,12.0,-9.52,31,.17
2002,4,379,23.7,11,397,24.8,27,7.6,8.4,-0.27,19,.85
2003,3,243,15.2,30,279,17.4,5,6.7,9.3,-0.99,19,1.26
2004,3,395,24.7,7,284,17.8,8,11.0,5.0,8.05,5,1.12
2005,3,271,16.9,24,367,22.9,24,5.2,10.8,-5.85,26,.15
2006,3,300,18.8,23,311,19.4,10,7.7,8.3,2.19,12,2.88
2007,2,252,15.8,30,354,22.1,18,4.9,11.1,-4.10,24,2.27
2008,4,336,21.0,23,342,21.4,14,7.8,8.2,-3.34,23,-2.96
2009,4,258,16.1,28,326,20.4,16,5.8,10.2,-1.82,21,2.43
2010,4,283,17.7,28,425,26.6,28,4.4,11.6,-4.61,26,4.26
2011,4,372,23.3,14,434,27.1,30,6.6,9.4,-3.37,22,.51
2012,4,344,21.5,21,435,27.2,26,5.8,10.2,-6.65,27,-0.96
2013,4,339,21.2,22,388,24.3,20,6.7,9.3,-3.21,22,-0.15
2014,2,343,21.4,18,289,18.1,4,9.6,6.4,4.93,7,1.55
2015,3,379,23.7,12,359,22.4,15,8.5,7.5,.03,12,-1.22
2016,3,399,24.9,10,378,23.6,16,8.5,7.5,-0.33,21,-1.65
2017,2,302,18.9,22,359,22.4,18,6.4,9.6,-4.04,23,-0.48
2018,3,269,16.8,30,374,23.4,18,5.0,11.0,-6.91,28,-0.34
2019,2,314,19.6,23,259,16.2,2,9.8,6.2,2.19,12,-1.25
2020,1,501,31.3,2,375,23.4,16,10.6,5.4,7.71,4,-0.16
2021,1,51,25.5,12,23,11.5,2,1.7,0.3,35.18,3,21.18
