,Division Placement,Points For,Points for Per Game,Points For Ranking,Points Against,Points Against Per Game,Points Against Ranking,Expected Wins,Expected Losses,Team Rating SRS,SRS rank,Strength of Schedule
2008,4,268,16.8,27,517,32.3,32,2.8,13.2,-13.11,31,2.46
2009,4,262,16.4,27,494,30.9,32,2.9,13.1,-14.38,31,.12
2010,3,362,22.6,15,369,23.1,19,7.8,8.2,1.91,13,2.35
2011,2,474,29.6,4,387,24.2,23,9.9,6.1,6.07,6,.63
2012,4,372,23.3,17,437,27.3,27,6.5,9.5,-2.31,20,1.76
2013,3,395,24.7,13,376,23.5,15,8.5,7.5,-1.64,17,-2.83
2014,2,321,20.1,22,282,17.6,3,9.2,6.8,2.06,13,-0.38
2015,3,358,22.4,18,400,25.0,23,7.0,9.0,-0.23,14,2.40
2016,2,346,21.6,20,358,22.4,13,7.7,8.3,-1.40,24,-0.65
2017,2,410,25.6,7,376,23.5,21,8.8,7.2,2.72,13,.60
2018,4,324,20.3,25,360,22.5,16,7.0,9.0,-3.01,23,-0.76
2019,4,341,21.3,18,423,26.4,26,6.0,10.0,-5.23,24,-0.11
2020,4,377,23.6,20,519,32.4,32,5.1,10.9,-7.72,30,1.15
2021,3,50,25.0,13,76,38.0,31,0.5,1.5,-36.90,31,-23.90
