,G#,Opp,Spread,Over/Under,Result,vs. Line,OU Result,Year
0,1,GNB,-8.0,0.0,"L, 7-13",Lost,Over,1978
1,2,@TAM,-1.0,0.0,"W, 15-7",Won,Over,1978
2,3,CHI,2.5,0.0,"L, 0-19",Lost,Over,1978
3,4,@SEA,6.0,0.0,"L, 16-28",Lost,Over,1978
4,5,@GNB,5.0,0.0,"L, 14-35",Lost,Over,1978
5,6,WAS,9.0,0.0,"L, 19-21",Won,Over,1978
6,7,@ATL,6.0,0.0,"L, 0-14",Lost,Over,1978
7,8,SDG,6.5,0.0,"W, 31-14",Won,Over,1978
8,9,@CHI,5.0,0.0,"W, 21-17",Won,Over,1978
9,10,@MIN,7.0,0.0,"L, 7-17",Lost,Over,1978
10,11,TAM,-3.0,0.0,"W, 34-23",Won,Over,1978
11,12,@OAK,7.0,0.0,"L, 17-29",Lost,Over,1978
12,13,DEN,3.5,0.0,"W, 17-14",Won,Over,1978
13,14,@STL,1.0,0.0,"L, 14-21",Lost,Over,1978
14,15,MIN,2.5,0.0,"W, 45-14",Won,Over,1978
15,16,SFO,-10.0,0.0,"W, 33-14",Won,Over,1978
16,1,@TAM,3.0,30.0,"L, 16-31",Lost,Over,1979
17,2,WAS,0.0,35.5,"L, 24-27",Lost,Over,1979
18,3,@NYJ,6.0,42.0,"L, 10-31",Lost,Under,1979
19,4,ATL,6.0,37.0,"W, 24-23",Won,Over,1979
20,5,MIN,-3.0,39.0,"L, 10-13",Lost,Under,1979
21,6,@NWE,13.0,40.0,"L, 17-24",Won,Over,1979
22,7,@GNB,4.0,36.0,"L, 16-24",Lost,Over,1979
23,8,@NOR,7.0,42.0,"L, 7-17",Lost,Under,1979
24,9,BUF,3.0,38.0,"L, 17-20",Push,Under,1979
25,10,@CHI,7.0,35.0,"L, 7-35",Lost,Over,1979
26,11,TAM,5.0,35.0,"L, 14-16",Won,Under,1979
27,12,@MIN,4.0,37.0,"L, 7-14",Lost,Under,1979
28,13,CHI,6.0,36.0,"W, 20-0",Won,Under,1979
29,14,@PHI,8.0,37.0,"L, 7-44",Lost,Over,1979
30,15,MIA,7.0,36.0,"L, 10-28",Lost,Over,1979
31,16,GNB,-3.0,34.0,"L, 13-18",Lost,Under,1979
32,1,@RAM,9.0,38.0,"W, 41-20",Won,Over,1980
33,2,@GNB,-4.0,38.0,"W, 29-7",Won,Under,1980
34,3,STL,-7.5,42.0,"W, 20-7",Won,Under,1980
35,4,MIN,-6.0,43.0,"W, 27-7",Won,Under,1980
36,5,@ATL,-2.0,42.0,"L, 28-43",Lost,Over,1980
37,6,NOR,-11.0,45.0,"W, 24-13",Push,Under,1980
38,7,@CHI,-3.0,40.0,"L, 7-24",Lost,Under,1980
39,8,@KAN,3.0,40.0,"L, 17-20",Push,Under,1980
40,9,SFO,-9.0,42.0,"W, 17-13",Lost,Under,1980
41,10,@MIN,2.0,39.0,"L, 0-34",Lost,Under,1980
42,11,BAL,2.0,41.0,"L, 9-10",Won,Under,1980
43,12,@TAM,3.0,39.0,"W, 24-10",Won,Under,1980
44,13,CHI,-3.0,36.0,"L, 17-23",Lost,Over,1980
45,14,@STL,2.0,40.0,"L, 23-24",Won,Over,1980
46,15,TAM,-6.0,39.0,"W, 27-14",Won,Over,1980
47,16,GNB,-6.0,38.0,"W, 24-3",Won,Under,1980
48,1,SFO,-4.0,40.0,"W, 24-17",Won,Over,1981
49,2,@SDG,7.0,43.0,"L, 23-28",Won,Over,1981
50,3,@MIN,-3.5,42.0,"L, 24-26",Lost,Over,1981
51,4,OAK,2.0,40.0,"W, 16-0",Won,Under,1981
52,5,@TAM,1.0,36.0,"L, 10-28",Lost,Over,1981
53,6,@DEN,7.0,36.0,"L, 21-27",Won,Over,1981
54,7,CHI,-6.0,36.0,"W, 48-17",Won,Over,1981
55,8,GNB,-5.5,38.0,"W, 31-27",Lost,Over,1981
