Player,09/11vs. CLE,09/18vs. DEN,09/25vs. SFO,10/02vs. BUF,10/09vs. JAX,10/16vs. IND,10/30vs. SEA,11/06vs. TEN,11/13vs. PIT,11/20vs. BAL,11/27vs. CLE,12/04vs. PIT,12/11vs. HOU,12/18vs. STL,12/24vs. ARI,01/01vs. BAL,01/07vs. HOU
Geno Atkins,,,,,,,,,,,,,,,,,P
Cedric Benson,P,,,,,,,P,,,,P,P,P,,,P
Andre Caldwell,,,,,,,,,,,,,,,D,IR,IR
Nate Clements,,,,,,,P,P,P,P,P,O,P,P,,,
Kyle Cook,,,,,,,,,,P,,,P,,,,P
Chris Crocker,,,,,P,P,,P,P,P,P,P,P,P,P,P,P
Andy Dalton,,P,,,,,,,,,P,,P,,,,P
Carlos Dunlap,P,,,,,,,P,O,P,O,D,D,P,,P,
Jonathan Fanene,,,,P,,,,,,P,,,,,,,
Robert Geathers,,D,D,P,,,,,,,,,,,,,
Brandon Ghee,,,,,,,,,,,P,P,,,,,
A.J. Green,,,P,,,,,,,D,P,,,,P,P,
Jermaine Gresham,,,,,,,O,D,P,,,,,,,,
Leon Hall,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Andrew Hawkins,,,,,,,,,,P,,,,,,,
Thomas Howard,,,,,,,P,P,P,,,,,,,,
Otis Hudson,O,D,D,O,,,,,,,,,,,,,
Kelly Jennings,D,P,,,D,O,P,,,,,,,,,,
Brandon Johnson,,,,,,,,,,,,,P,,,,
Michael Johnson,,P,,,,,,,,,P,,,,,,
Adam Jones,PUP,PUP,PUP,PUP,PUP,PUP,,D,D,P,P,,,,,,
Manny Lawson,,,,,,,,,,,,,,P,,,
Donald Lee,,,,,,P,,,O,D,D,O,O,P,,,
Brian Leonard,P,,,,,P,,,P,P,,,O,D,O,,
Rey Maualuga,,,,,,O,D,D,P,,,,,,,,
Taylor Mays,D,D,O,,P,,,,,,,,,,,D,O
Jeromy Miles,,,,P,P,,,,,,,,,,,,
Dontay Moch,O,O,O,O,D,O,,,,O,,,O,O,O,D,D
Roddrick Muckelroy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Reggie Nelson,,,,,,,,,,,,,,,P,,
Domata Peko,,,,,,,,,,,P,P,,,,,
Chris Pressley,,,,,,,,,,,,,,O,P,,
Keith Rivers,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Frostee Rucker,,P,,,,,,P,,P,,,,P,,P,P
Bo Scaife,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Bernard Scott,P,,,,,,,,,,,,,,,,
Jordan Shipley,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jerome Simpson,,,,,,,,,,,,P,,,,,
Pat Sims,,,,P,,,,,,,,D,IR,IR,IR,IR,IR
Dan Skuta,,,,,,,P,,,,,,,,,,
Andre Smith,,,P,,P,,,,P,,,,D,O,P,,
Morgan Trent,,,,,,,O,Q,,,,,,,,,
Ryan Whalen,,,,,,D,,,,,,,,,,,
Andrew Whitworth,,P,,,,,,,,,P,,,,P,P,
Bobbie Williams,,,,,P,,,,,,,,,IR,IR,IR,IR
Gibril Wilson,,,,P,,,,,,P,,,,P,,,
