Player,09/13vs. DEN,09/20vs. GNB,09/27vs. PIT,10/04vs. CLE,10/11vs. BAL,10/18vs. HOU,10/25vs. CHI,11/08vs. BAL,11/15vs. PIT,11/22vs. OAK,11/29vs. CLE,12/06vs. DET,12/13vs. MIN,12/20vs. SDG,12/27vs. KAN,01/03vs. NYJ,01/09vs. NYJ
Cedric Benson,,,P,P,P,,,,,D,O,P,,,,,
Andre Caldwell,,,,,,,,,P,,,,,,,P,
Antonio Chatman,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,
Daniel Coats,,,,,,,P,,,,,,,,,,
Chase Coffman,,,,,,,,,,,,,IR,IR,IR,IR,IR
Laveranues Coles,,,,,,,,,,P,P,P,,,,,
Chris Crocker,,,,,,,,,,P,,,,O,D,D,P
Jonathan Fanene,,,P,,,,P,,,,,,,,,P,
J.P. Foschi,,,,,,,,,,,,,,,,O,Q
Robert Geathers,,,,,,,,,P,,P,,,P,P,O,P
Orien Harris,,,,,,,,,,,,P,,,,,
Kyries Hebert,,,,,P,P,,,,,,P,O,P,,,
Chris Henry,P,,P,,,,P,,IR,IR,IR,IR,IR,,,,
Abdul Hodge,,,,P,,,,,,,,,,,,,
Rashad Jeanty,,,,,O,P,,,,,,,,,,,
Chad Johnson,,,,,,,P,,,,,,P,,,,P
Jeremi Johnson,,,,,,,,P,P,P,,,,,,,
Larry Johnson,,,,,,,,,,,,,,,,,O
Michael Johnson,,,P,,,,,,,,,,,,,,
Tank Johnson,,,,O,O,P,P,P,P,,P,P,,P,P,P,P
David Jones,O,O,D,O,P,,,,,,,,,,,,
Johnathan Joseph,,,P,P,,,,,,P,P,,,,,,
Reggie Kelly,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Scott Kooistra,O,P,,,,,,,,,,,,,,,
Brian Leonard,,P,,,,D,O,,,,,,,P,,,
Nate Livings,,O,O,,,,,,,,,,,,,,
Jonathan Luigs,,,,,,,,,P,,,D,O,,,,
Evan Mathis,,,,,,,,,D,D,P,,,,,,
Rey Maualuga,,,,P,P,,,,,,P,P,,,,IR,IR
Nedu Ndukwe,,,,P,P,P,,,,,,,,,,,
Tom Nelson,,,,,,,,P,,,,P,,,,,O
Antwan Odom,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Carson Palmer,P,,,,,P,,,,,,,,,,,
Jordan Palmer,,O,,,,,,,,,,,,,,,
Domata Peko,,,,P,P,,P,,,,P,D,O,O,D,O,P
Keith Rivers,,,,,,,,,D,D,O,P,,,,,
Frostee Rucker,,,,,,D,P,,P,,,P,,,P,,
Dan Santucci,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Bernard Scott,,,,,,,,P,,,P,D,O,Q,Q,P,
Jerome Simpson,,,,,,O,,,,,,,,,,,
Pat Sims,,,,,,,P,,,,,,,,,,IR
Andre Smith,O,O,O,O,O,O,O,O,,,,,,,,,
Shaun Smith,,,,,,,,,,,,,,,,,P
Morgan Trent,,,,,,,,,,P,P,P,P,P,,,
Ben Utecht,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,
Andrew Whitworth,,,,P,,,,,,,,,,,,,
Roy Williams,P,,,O,P,O,D,O,IR,IR,IR,IR,IR,IR,IR,IR,IR
