Player,09/07vs. BAL,09/14vs. ATL,09/21vs. TEN,10/05vs. NWE,10/12vs. CAR,10/19vs. IND,10/26vs. BAL,11/02vs. JAX,11/06vs. CLE,11/16vs. NOR,11/23vs. HOU,11/30vs. TAM,12/07vs. PIT,12/14vs. CLE,12/22vs. DEN,12/28vs. PIT,01/04vs. IND
Geno Atkins,,P,,,,,,,,,,,,,,,
Giovani Bernard,,,,,,,,Q,D,D,P,,,,,,
Clint Boling,,,,,,,,,,,,,,,,P,
Kevin Brock,,,,,,,P,,,,,,,,,,
Vontaze Burfict,,Q,D,D,P,,P,O,O,O,O,O,O,IR,IR,IR,IR
Rex Burkhead,O,O,D,O,,,,,,,,,,,,,
Chris Carter,,,,,,,,,,,,,,,,P,
Andy Dalton,,,,,,,,,,,,,,,,P,
Darqueze Dennard,Q,P,,,,,,D,,,,,,,,P,
Jayson DiManche,,,,,,,,P,,,,,IR,IR,IR,IR,IR
Carlos Dunlap,,P,P,,,,,P,,,,,,,P,,
Tyler Eifert,D,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Robert Geathers,,,,P,,,P,,Q,,,P,P,,,,
Wallace Gilberry,,,,,,P,P,,,,P,,,,,P,
A.J. Green,,P,D,P,D,D,D,Q,,,,,P,,P,P,O
Jermaine Gresham,,,,,,,,,P,P,,,,O,P,,O
Leon Hall,,,,,,,P,,O,P,,,,,,,
Clark Harris,,,,,,,,,,,,P,,,,,
Ryan Hewitt,,,,,,,,,,,,,P,,,,
Jeremy Hill,Q,,,,,,,Q,,,,,,,,,
Trey Hopkins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Margus Hunt,,P,,Q,,,,,,,O,O,D,D,P,,
George Iloka,,,,P,P,P,,,,,,P,,,,,
Nico Johnson,,,,,,,,,,,,Q,,,,,
Adam Jones,,,,,,,,,,,,P,P,Q,,Q,
Marvin Jones,O,O,O,D,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dre Kirkpatrick,,,,,,,,,,,,,,P,P,,
Emmanuel Lamur,,,,P,,D,P,,,,,,,,D,Q,
Chris Lewis-Harris,S,S,P,,,,,,,,,,,,,Q,
Greg Little,,,,,,,,,,,,O,,,,,
Rey Maualuga,,,,,,O,O,D,D,Q,,,,,,,
Taylor Mays,,,,,,,,,,P,,,,,,,
A.J. McCarron,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Q,,
Reggie Nelson,,,,,,,,,,,,,,,,Q,
Marshall Newhouse,,,,,,,P,,,,,,P,,P,,
Terence Newman,,,,,,,,P,P,O,P,,,O,P,O,
Mike Nugent,,,,,,,,,,,,,,,,P,
Cedric Peerman,P,,,,,,,,,P,P,,,,,,Q
Domata Peko,,,,,,,,P,,,,,D,,,,
Mike Pollak,P,P,P,P,P,O,P,P,,P,P,P,P,P,P,,
Sean Porter,D,D,D,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Vincent Rey,,,,,P,,,,,,,,,,,,
Mohamed Sanu,,,,,,,,,,,,P,,,,,
Dane Sanzenbacher,,,,,,,,,,,,,,,,,IR
J.K. Schaffer,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Alex Smith,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Andre Smith,P,P,,,,P,P,,D,D,P,IR,IR,IR,IR,IR,IR
Brandon Tate,,,,,,,,,,,,,,,P,,
Brandon Thompson,,,D,O,D,D,O,P,,,,,,,,,
Andrew Whitworth,,,P,,,,,,,,,,,,,,
Shawn Williams,,,P,,,,,,,,,,,P,,,
James Wright,D,P,,,,,,,,,,,D,D,D,O,O
Kevin Zeitler,,,D,D,D,P,,D,P,,P,,,,,,
