Player,09/08vs. SEA,09/15vs. SFO,09/22vs. BUF,09/30vs. PIT,10/06vs. ARI,10/13vs. BAL,10/20vs. JAX,10/27vs. LAR,11/10vs. BAL,11/17vs. OAK,11/24vs. PIT,12/01vs. NYJ,12/08vs. CLE,12/15vs. NWE,12/22vs. MIA,12/29vs. CLE
Rodney Anderson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Geno Atkins,,,,,,,,,,Q,,,,,,
Cethan Carter,,,,,,,,,,,,O,,,,
Darqueze Dennard,PUP,PUP,PUP,PUP,PUP,PUP,PUP,O,,,,,,Q,,
Jeff Driskel,IR,IR,,,,,,,,,,,,,,
O'Shea Dugas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Carlos Dunlap,,,,,,O,D,,,,,,,,,
Clayton Fejedelem,,Q,,,,,,,,,,,,,,
Ryan Glasgow,,,O,O,,O,,,IR,IR,IR,IR,IR,IR,IR,IR
Cordy Glenn,O,O,O,O,O,O,O,O,Q,,,,,,,
A.J. Green,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,IR
Bobby Hart,,,,,,,,,,Q,,,,,,
Sam Hubbard,,,,,,,,,,,,,O,,,
William Jackson III,,,,,,,O,,,,,,,,,IR
Michael Jordan,,,Q,,,,,,,,,,,,,
Dre Kirkpatrick,,,,,,,O,O,O,O,IR,IR,IR,IR,IR,IR
Carl Lawson,,,D,D,,,O,O,,,,,,,,
John Miller,,,,,,,O,Q,,,,,,,O,
Joe Mixon,,Q,,,,,,,,,,,,,,
Stanley Morgan Jr.,,,,,,,,,,,Q,,,,,D
Darius Phillips,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Alex Redmond,,,,,,,,,O,O,,O,IR,IR,IR,IR
John Ross,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Drew Sample,,,,,,,,,,O,O,O,IR,IR,IR,IR
Niles Scott,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Andre Smith,,,Q,,,O,O,Q,,,,,,,,
Auden Tate,D,,,,,,,,,,Q,,,IR,IR,IR
Nick Vigil,,,,,,,,,,,,Q,,,,
B.W. Webb,,,O,,,,,,,,,,,,,
Jonah Williams,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP
Shawn Williams,,,,,,Q,,,,,,,,,,
Trayveon Williams,O,Q,,,,,,,,,,,,,,
Brandon Wilson,,,,,,,,,,,,,IR,IR,IR,IR
Renell Wren,,,,,,,,,,,,,,IR,IR,IR
Kerry Wynn,,,O,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
