Player,09/08vs. WAS,09/15vs. ATL,09/22vs. DET,09/26vs. GNB,10/06vs. NYJ,10/13vs. MIN,10/20vs. DAL,10/27vs. BUF,11/03vs. CHI,11/17vs. NWE,11/24vs. SEA,12/01vs. MIA,12/09vs. NYG,12/15vs. WAS,12/22vs. DAL,12/29vs. NYG,01/05vs. SEA
Nelson Agholor,,,,,,,,,,,Q,,Q,Q,Q,O,O
Derek Barnett,,,,,,,,,,,,,Q,Q,Q,,
Nigel Bradham,,,,,,,O,O,O,O,,,,,,,
Brandon Brooks,,,,,,,,,,,,,,,,,IR
Corey Clement,,,O,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ronald Darby,,,,O,O,O,Q,,,,,,,Q,,IR,IR
Alex Ellis,,,,,O,IR,IR,,,,,,,,,,
Zach Ertz,,,,,,,,,,,,Q,,,,O,Q
Rudy Ford,,,,,,,,,,,O,IR,IR,IR,IR,IR,IR
Dallas Goedert,,,Q,,,,,,,,,,,,,,
Kamu Grugier-Hill,O,O,D,,,,,,,,,,O,,IR,IR,IR
Daeshon Hall,,,,,,,,,,,,,,,,,IR
Jordan Howard,,,,,,,,,,Q,Q,Q,Q,Q,Q,,
DeSean Jackson,,,O,O,O,O,O,O,Q,IR,IR,IR,IR,IR,IR,IR,IR
Malik Jackson,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Alshon Jeffery,,,Q,,,,,,,O,Q,,,IR,IR,IR,IR
Timmy Jernigan,,,O,O,O,O,O,O,Q,,,,,,,,
Charles Johnson,IR,,,,,,,,,,,,,,,,
Lane Johnson,,,,,,,,,,,O,,,O,O,Q,Q
Sidney Jones,,,,,Q,,,,,,,,,,,,
Cre'von LeBlanc,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,
Avonte Maddox,,,,,O,O,O,O,,,,,,,Q,,
Jordan Mailata,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jalen Mills,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,Q,
Joe Ostman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jason Peters,,,,,,,O,O,O,,,,,,,,
Hassan Ridgeway,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Richard Rodgers,IR,IR,,,,,,,,,,,,,,,
Andrew Sendejo,,,,,,,,,Q,,,,,,,,
Aziz Shittu,IR,IR,IR,IR,IR,,,,,,,,,,,,
Darren Sproles,,,,,,O,O,O,,IR,IR,IR,IR,IR,IR,IR,IR
Nate Sudfeld,O,D,Q,,,,,,,,,,,,,,
