Player,09/13vs. WAS,09/20vs. LAR,09/27vs. CIN,10/04vs. SFO,10/11vs. PIT,10/18vs. BAL,10/22vs. NYG,11/01vs. DAL,11/15vs. NYG,11/22vs. CLE,11/30vs. SEA,12/06vs. GNB,12/13vs. NOR,12/20vs. ARI,12/27vs. DAL,01/03vs. WAS
JJ Arcega-Whiteside,,,,D,,,,,,C19,C19,,,,,
Grayland Arnold,,,,,,,,,,,,,Q,Q,,
Genard Avery,,,,,,,,IR,IR,IR,IR,,,,,
Derek Barnett,O,Q,,,,,,,,,,,,,Q,O
Shaun Bradley,,,,,,,,,,,,,,,,IR
Brandon Brooks,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP
Jatavis Brown,S,IR,IR,IR,IR,IR,IR,,,,,,,,,
Fletcher Cox,,,Q,,,,,,,,,,,,Q,O
Vinny Curry,,IR,IR,IR,IR,IR,,,,C19,C19,,,,,
Andre Dillard,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jack Driscoll,,,,,,,O,O,,,,,,O,IR,IR
T.J. Edwards,,,,,IR,IR,IR,IR,,,,,O,,,
Marcus Epps,,,,,,O,,,C19,C19,,,,,,
Zach Ertz,,,,,,,O,IR,IR,IR,IR,,,,,
Rudy Ford,,,O,,IR,IR,IR,IR,,O,O,O,O,,,
Nathan Gerry,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dallas Goedert,,,,IR,IR,IR,IR,IR,,,,,,,,O
Marquise Goodwin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Graham,,Q,,,,,,,,,,,,,,
Daeshon Hall,//;90,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,
Javon Hargrave,O,,,,,,,,,,,,,,,
Jason Huntley,,,,,,,,,,,,,,O,,
DeSean Jackson,,,,O,O,O,,IR,IR,,,,,,,O
Malik Jackson,,,,,,,O,,,,,,,Q,,
Michael Jacquet,,,,,,,,,,,,,O,,,Q
Craig James,,IR,IR,IR,IR,,,O,O,IR,IR,IR,IR,IR,IR,IR
Alshon Jeffery,O,O,O,O,O,O,O,O,,,,,,,,
Lane Johnson,Q,,,,,O,,,,,O,IR,IR,IR,IR,IR
Cameron Johnston,,,,,,,,,,,,,,,Q,
Cre'von LeBlanc,,,,,,,,O,,,,,IR,IR,IR,IR
Avonte Maddox,,,,O,O,O,,,,,,,,IR,IR,IR
Jordan Mailata,,,,,,,,,,,,,,,,O
Rodney McLeod,,,,,,,,,,,,,,IR,IR,IR
Jalen Mills,,,,,,,,,,,,,,,,C19
Iosua Opeta,,,,,,,,,,,O,IR,IR,IR,IR,IR
Will Parks,IR,IR,IR,IR,IR,IR,,,,,,,,,,
Joshua Perkins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jason Peters,,,,IR,IR,IR,IR,IR,,,Q,,IR,IR,IR,IR
Matt Pryor,,,,,,O,C19,,,,,,,,,
Jalen Reagor,,,O,IR,IR,IR,IR,IR,,,,,,,,
Hassan Ridgeway,,,,,,,,,IR,,,,,,,
Duke Riley,,,,,,O,,,,,,,,,O,IR
Richard Rodgers,,,,,,,,,,,,,,,O,O
Miles Sanders,O,,,,,,O,O,,,,,,,,O
Isaac Seumalo,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,
Kevon Seymour,,,,,,,,,,,,,,,IR,IR
Darius Slay,,,,,,Q,,,,,,Q,,Q,,
Josh Sweat,,,,,,,,,,,,,,,IR,IR
Davion Taylor,,,,,,,,,,,,,IR,IR,IR,IR
K'Von Wallace,,,,,,,O,,,,,,,,,
Quez Watkins,IR,IR,IR,IR,IR,,,,,,,O,,,,
Trevor Williams,,,,IR,IR,IR,IR,,,,,,,,,
