Player,09/13vs. BAL,09/19vs. PIT
Denzelle Good,,
Richie Incognito,O,O
Josh Jacobs,,O
Nick Kwiatkoski,,O
Marcus Mariota,,O
Gerald McCoy,,
Nicholas Morrow,,
Carl Nassib,,Q
Yannick Ngakoue,,Q
Keisean Nixon,,
Darius Philon,,Q
Jalen Richard,,
Kamaal Seymour,,
Roderic Teamer,D,O
Javin White,,
