Player,09/14vs. SDG,09/20vs. KAN,09/27vs. DEN,10/04vs. HOU,10/11vs. NYG,10/18vs. PHI,10/25vs. NYJ,11/01vs. SDG,11/15vs. KAN,11/22vs. CIN,11/26vs. DAL,12/06vs. PIT,12/13vs. WAS,12/20vs. DEN,12/27vs. CLE,01/03vs. BAL
Jon Alston,,,,,,P,,,,O,IR,IR,IR,IR,IR,IR
Nnamdi Asomugha,P,P,P,P,P,,P,,,,,,,Q,,
John Bowie,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tyvon Branch,,,,,P,,,,,,,,,,,Q
Ricky Brown,,,,,,O,O,O,O,IR,IR,IR,IR,IR,IR,IR
Desmond Bryant,,,,,,,,,,,,,P,,,
Cooper Carlisle,,,,,,,P,,,,,,,,P,
Isaiah Ekejiuba,,,,,,,,Q,,P,P,P,,,,
Greg Ellis,,P,,,,P,P,P,O,P,,D,P,P,P,Q
Hiram Eugene,,,D,O,P,,,,,P,P,,,,,
Justin Fargas,D,,,,,,,,,,,P,,,D,D
Charlie Frye,,,,,,,,,,,,,,,P,
Robert Gallery,,,O,O,O,O,O,D,P,,,,O,IR,IR,IR
Bruce Gradkowski,,,,,,,,O,,,,,,O,D,Q
Cornell Green,,,,,O,O,O,O,P,,,,,,,
Mario Henderson,,,,,,,,,,,,,,,,
Darrius Heyward-Bey,,,,,,,,,,,,,D,D,O,O
Johnnie Lee Higgins,,O,P,P,,,,,,,,,,,,
Jonathan Holland,,,,P,,,,,,,,,,,,
Michael Huff,,,,P,P,,,,,,,,,P,,
Chris Johnson,,,,,,,,P,,,,,,,P,O
Tommy Kelly,,,,,,,,,,Q,,,,,Q,
Luke Lawton,,,,P,,D,P,,,,,,,,,
Darren McFadden,,,,,O,O,O,O,P,,,,,,,
Nick Miller,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Zach Miller,,,,,P,,,,,,,,,D,P,
Mike Mitchell,,,,P,,,,,,,,,,,,
Kirk Morrison,,P,P,,,P,,,,,,,,,,
Louis Murphy,,,,,,,P,P,,,,,,,,
Brandon Myers,,,,,,,P,,,,,,,,D,
David Nixon,,,,,,,,,,,,O,,,,
Oren O'Neal,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Samson Satele,,,,,,,,,,,,,Q,P,,
Chaz Schilens,O,O,O,D,O,O,O,D,P,,,,,,,
Richard Seymour,,,P,,,,P,,,,P,,,,,
Matt Shaughnessy,,,,,,,,,,,,,,P,,
Tony Stewart,,,,,,,,O,P,,,,,,,
Javon Walker,O,,,,,,,,O,D,O,Q,,,,
Langston Walker,,,,,,,,,,,,,,,,D
Gerard Warren,,,,,,,,P,,,,,,,,P
Sam Williams,,,,,,,,,,,,,,P,,
