Player,09/10vs. OAK,09/16vs. TEN,09/23vs. ATL,09/30vs. KAN,10/07vs. NOR,10/15vs. DEN,10/28vs. CLE,11/01vs. KAN,11/11vs. TAM,11/18vs. DEN,11/25vs. BAL,12/02vs. CIN,12/09vs. PIT,12/16vs. CAR,12/23vs. NYJ,12/30vs. OAK
Seyi Ajirotutu,,,,,,,,,,,,,IR,IR,IR,IR
Antwan Barnes,,,,P,,,,,D,P,,P,IR,IR,IR,IR
Atari Bigby,,,,,,,,,P,P,,IR,IR,IR,IR,IR
Curtis Brinkley,,,P,,,,,,,,,,,,,
Ronnie Brown,,,,,,,,,,,,,,D,P,Q
Vincent Brown,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Donald Butler,,,,,,,,,,,Q,D,O,D,P,D
Chris Carr,,,,,,,,Q,P,P,,,,,,
Jeromey Clary,,,,,,P,,,,,,P,D,D,P,
Brandyn Dombrowski,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Larry English,,,,,,,,,,,O,P,,,,
Malcom Floyd,,,,,,Q,,,,,,,,,IR,IR
Aubrayo Franklin,,,,,,,,,Q,O,,,,,D,IR
Jared Gaither,O,O,O,P,,D,P,P,Q,D,IR,IR,IR,IR,IR,IR
Antonio Garay,Q,P,Q,,,,,,,,,,,,,
Antonio Gates,,Q,P,,,,,,,,,,,,,
Richard Goodman,,D,,,,,,O,O,O,O,IR,IR,IR,IR,IR
Tyronne Green,,,,,P,,,,,P,D,P,D,D,P,
Nick Hardwick,Q,,,,,,P,P,,,,,,,,
Mike Harris,,,,,,,,,,,,,D,P,,
Melvin Ingram,,,,,,,,,Q,P,,,,,,
Quentin Jammer,,P,,P,,,,,,Q,,,,,,
Jarret Johnson,,,,,,,,,,,,Q,P,,,
Nate Kaeding,,,,O,O,O,IR,IR,,,,,,,,
Corey Liuget,,,,,,Q,,,Q,,,,,,,
Corey Lynch,,,,,,,,,,,,,P,,,
Vaughn Martin,,,,,,,P,P,,,,,O,IR,IR,IR
Ryan Mathews,O,D,P,,,P,,P,,P,,,,,IR,IR
Robert Meachem,,,,,,,,Q,P,,,,,,,
David Molk,,,,,,,,,,,,,IR,IR,IR,IR
Jonas Mouton,,,,,,,Q,O,Q,,,,,,,
Shaun Phillips,,,,,,,,,P,,,,,,,
Kendall Reyes,,,,,,,,,,,,,,P,,
Dante Rosario,,,P,,,,,,,P,D,D,P,,,
Eddie Royal,Q,,P,,,Q,Q,D,P,,D,O,O,O,P,
Mike Scifres,,,,,,,,,,P,P,P,,,,
Takeo Spikes,,,,,,,,P,,,,,,,P,P
Darrell Stuckey,Q,,,,,,,,,,Q,O,P,IR,IR,IR
Brandon Taylor,,,,,,,,,,,,,,,,IR
Johnnie Troutman,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Louis Vasquez,,,,,,,,,,,P,,,,,
Eric Weddle,,,,,,,,,,P,,P,,,,
Reggie Wells,,,,,,,,,,,,,,,IR,IR
Demorrio Williams,,,,Q,,,,,Q,,,,,O,Q,P
Mike Windt,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Shareece Wright,,D,O,O,O,D,P,,,,,,,,,P
