Player,09/09vs. SEA,09/16vs. OAK,09/23vs. BAL,10/01vs. KAN,10/07vs. NYJ,10/14vs. LAR,10/18vs. ARI,10/28vs. KAN,11/04vs. HOU,11/18vs. LAC,11/25vs. PIT,12/02vs. CIN,12/09vs. SFO,12/15vs. CLE,12/24vs. OAK,12/30vs. LAC
Shaquil Barrett,,,,,,,,,,,,O,O,O,,
Kenny Bell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tramaine Brock,,,,D,,,,,,,,O,O,,,
Jake Butt,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jamal Carter,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Su'a Cravens,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,IR,IR,IR
Todd Davis,,,,,Q,,,,,,,,,,,
Nico Falah,,,,,,,,Q,,,,,,,,
Royce Freeman,,,,,,,,O,Q,,,,,,,
Troy Fumagalli,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Max Garcia,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Jerrol Garcia-Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Adam Gotsis,,,,,Q,,,,,,,,,,,
DaeSean Hamilton,,,,,,,,O,O,,,,,,,
Chris Harris Jr.,,,,,,,,,,,,,IR,IR,IR,IR
Carlos Henderson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jeff Heuerman,,,,,,,,,,,,IR,IR,IR,IR,IR
Andre Holmes,,,,,,,,,,,,,,,,IR
Adam Jones,,,Q,Q,,Q,O,,,,,,,,,
Marquette King,,,,,D,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Matt LaCosse,,,,,,,,,,,,,,,Q,
Brendan Langley,,,,,,,,,,,,,,,O,
Ronald Leary,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR
Phillip Lindsay,,,,,,,,,,,,,,,,IR
Brandon Marshall,,,Q,Q,,,,Q,O,O,O,Q,Q,,,
Von Miller,,,,,,,,Q,,,,,,,,
Deiontrez Mount,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Matt Paradis,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Shane Ray,,,,,,,O,D,,,,,,,Q,
Bradley Roby,,,,,,,,,O,,Q,,,,,
Emmanuel Sanders,,,,,,,,,,,,,IR,IR,IR,IR
Darian Stewart,,,,,,,,O,O,,,,,,,
Jordan Taylor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dymonte Thomas,,,Q,Q,,,O,,,O,O,,,,,
Jared Veldheer,,,Q,,O,Q,O,O,,,,,,,,
Menelik Watson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Derek Wolfe,,,,,,,,,,,,,,Q,,
Isaac Yiadom,,,,,,,,,,,,,,O,,
