Player,09/14vs. TEN,09/20vs. PIT,09/27vs. TAM,10/01vs. NYJ,10/18vs. NWE,10/25vs. KAN,11/01vs. LAC,11/08vs. ATL,11/15vs. LVR,11/22vs. MIA,11/29vs. NOR,12/06vs. KAN,12/13vs. CAR,12/19vs. BUF,12/27vs. LAC,01/03vs. LVR
Jeremiah Attaochu,,,,O,O,O,Q,,,,,,,,,
Mark Barron,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,
Essang Bassey,,,,,,,,,,,,,IR,IR,IR,IR
Andrew Beck,,,,,,Q,IR,IR,IR,IR,IR,IR,,,,
LeVante Bellamy,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,Q
Garett Bolles,,Q,,,,,,,,,,,Q,,,
A.J. Bouye,,IR,IR,IR,IR,IR,,O,,,,,,,,
Jake Butt,,,,,,Q,Q,,IR,,,,,,,
Austin Calitro,,,,IR,IR,IR,IR,,,,,,,,,
Bryce Callahan,,,,,,,,Q,Q,Q,Q,,,,,
Jurrell Casey,,,,IR,IR,IR,IR,IR,C19,C19,IR,IR,IR,IR,IR,IR
Anthony Chickillo,,,,,,,,,,,,,,,,Q
Bradley Chubb,,,,,,,,,,,,,,,Q,Q
Tyrie Cleveland,,Q,,,,,,,,,,,Q,,,
Duke Dawson,,,,,,,,,,,,,,IR,IR,IR
Demar Dotson,,,,,,,,,Q,,Q,,,,,
Jeff Driskel,,,,,,,,,,,C19,C19,C19,C19,,
Noah Fant,,,,,Q,,,,,Q,,,,,,
Austin Fort,,,,,,,,,IR,,,,,,,
Royce Freeman,,,,,,,,,,,,,,,Q,
Graham Glasgow,,,,,,,C19,C19,C19,Q,Q,,D,Q,,Q
Melvin Gordon,,,,,Q,,,,,,,,,Q,,
Nate Hairston,,,,,,,,,,,,,,,Q,
KJ Hamler,Q,,,,O,,,,,,,,,,,O
Davontae Harris,,,O,Q,,,,,,,,,,,,
Jonathan Harris,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Shelby Harris,,,,,,,,C19,C19,C19,C19,,,,,IR
Joel Heath,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ja'Wuan James,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jerry Jeudy,,,Q,,,,,,Q,,Q,Q,,,,
Dre'Mont Jones,,,IR,IR,IR,IR,,,,,,,,,,
Joseph Jones,,,,,,,,,O,O,Q,,,,,
Phillip Lindsay,,O,D,Q,,,Q,Q,,,,Q,,Q,O,IR
Drew Lock,,,O,O,Q,,,,,Q,,,,,,
Trey Marshall,,,,,,,,Q,,,O,O,Q,Q,,Q
Brandon McManus,,,,,,,,,,,,,,C19,C19,
Von Miller,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Albert Okwuegbunam,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Tim Patrick,,,,,,,Q,Q,,,,,,,,
Kyle Peko,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mike Purcell,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Malik Reed,,,,,,,,,,,,Q,,,,
Dalton Risner,,,,,,Q,,,,,,,,,,
Jake Rodgers,,,,,,,,,Q,Q,,,,,,
Brett Rypien,,,,,,,,,,,C19,,,,,
Diontae Spencer,,,,,,O,O,D,Q,,C19,C19,C19,,,
Justin Strnad,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Courtland Sutton,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kevin Toliver,,,,,,,,,,,,,,IR,IR,IR
Derrek Tuszka,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,
Nick Vannett,,,,,,,,Q,,,,,,,,
DeMarcus Walker,,,IR,IR,IR,IR,,,,,,,,,,
Elijah Wilkinson,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,
DeShawn Williams,,,,,,,,,,Q,,,,,Q,
Sylvester Williams,,,,,,,,,,,Q,,,,,
