Player,09/05vs. BAL,09/15vs. NYG,09/23vs. OAK,09/29vs. PHI,10/06vs. DAL,10/13vs. JAX,10/20vs. IND,10/27vs. WAS,11/10vs. SDG,11/17vs. KAN,11/24vs. NWE,12/01vs. KAN,12/08vs. TEN,12/12vs. SDG,12/22vs. HOU,12/29vs. OAK,01/12vs. SDG,01/19vs. NWE,02/02vs. SEA
Mike Adams,,,,,,,,,,,,,,P,,,,,
C.J. Anderson,O,D,P,P,,,,,,,,,,P,,,,,
Robert Ayers,P,P,,,,D,P,P,,,,,,,,,,,
Champ Bailey,D,O,P,Q,Q,P,P,O,D,D,Q,P,P,P,P,,,,
Omar Bolden,,Q,P,P,,,,,,,,P,,P,,,,,
Justin Boren,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Stewart Bradley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Aaron Brewer,,,P,P,,,,,,,,,,,,,,,
David Bruton,,,,P,,,,,,,,,P,P,,,,,
Quinton Carter,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tony Carter,,,Q,P,,,,,,,,,,,,,,,
Ryan Clady,P,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Clark,,,,,,,,,,,,P,,,,,,,
Eric Decker,,P,P,P,P,P,P,P,P,,,,,P,,P,,,
Joel Dreessen,O,O,Q,Q,P,P,P,P,P,P,P,P,P,P,P,P,,,
Orlando Franklin,,,,P,,Q,D,Q,P,P,P,P,,,,,,,
Virgil Green,,,,,,,P,,,,,,,,,P,,,
Chris Harris Jr.,,,,,,P,,,,,,,,,,,,,
Ronnie Hillman,,,,,,P,,,,,,,,,,,,,
Trindon Holliday,,P,,,,,,,,,,,Q,P,P,P,,,
Duke Ihenacho,,,P,Q,,,,Q,Q,P,P,,,,,,,,
Nate Irving,,,,,,,,,,Q,P,,,,,,,,
Malik Jackson,,,,,,,,,,,,,P,P,,,,,
Winston Justice,,,,,,,,,,P,P,P,P,P,P,P,,,
Dan Koppen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Kuper,D,Q,P,P,P,P,P,Q,P,P,P,P,P,P,P,P,,,
Paris Lenon,,,,D,Q,P,,,,,,,,,,,,,
Peyton Manning,,,,,,,,P,P,P,P,P,P,P,P,P,,,
Lerentee McCray,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Von Miller,,,,,,,P,,,,,,,,Q,IR,IR,IR,IR
John Moffitt,,,,,,,,,O,O,O,O,O,O,O,O,O,O,O
Rahim Moore,,,,,,,,,,,O,O,IR,IR,IR,IR,IR,IR,IR
Knowshon Moreno,,,,,,,,,P,,,P,P,P,,,,,
Greg Orton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brock Osweiler,P,,,,,,,,,,,,,,,,,,
Shaun Phillips,,,Q,,,,P,P,,,,,,,,,,,
Matt Prater,,,,,P,P,,,,,,,,,,,,,
Manuel Ramirez,,,,,P,P,,,P,P,,,,,,,,,
Dominique Rodgers-Cromartie,Q,,,,,,,,,,,Q,P,,,,,,
Quanterus Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jacob Tamme,,,,,,,,,,,,,,,,P,,,
Demaryius Thomas,,,,P,,,,,,,,,P,P,P,P,,,
Julius Thomas,,,,,,,,Q,P,P,Q,Q,P,P,P,,,,
Danny Trevathan,,,,,P,,,,P,,,,P,,P,,,,
Mitch Unrein,,,,,P,,,P,,,,,,,,,,,
Steve Vallos,,,,,,,,,,,,,,,,O,,,
Kevin Vickerson,,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
J.D. Walton,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,P,P,P,P,P,P,,,,,
Kayvon Webster,,,,,,,,,,P,,P,P,,O,Q,,,
Wes Welker,P,P,P,P,,,P,P,P,P,P,P,,D,O,O,,,
Sylvester Williams,,,,,,,P,,,,,,,,,,,,
Derek Wolfe,Q,,,,,,,,,,,O,O,O,Q,D,,,
Wesley Woodyard,,P,,,,D,Q,P,,,,,,,,,,,
