Player,09/12vs. CAR,09/19vs. NWE
Mekhi Becton,,
Keelan Cole,Q,Q
Jamison Crowder,,Q
Ashtyn Davis,,
Jarrad Davis,,
Isaiah Dunn,,Q
Chuma Edoga,,Q
Parker Ferguson,,
Lamarcus Joyner,,
Carl Lawson,,
Zane Lewis,,
Braden Mann,,
Conor McDermott,,
Sharrod Neasman,O,
La'Mical Perine,Q,
Teton Saltes,,
Jamien Sherwood,,D
