,Week,Day,Date,Time,Outcome,OT,Rec,Home,Opp,Score_Tm,Score_Opp,Offense_1stD,Offense_TotYd,Offense_PassY,Offense_RushY,Offense_TO,Defense_1stD,Defense_TotYd,Defense_PassY,Defense_RushY,Defense_TO,Year,Expected Points_Offense,Expected Points_Defense,Expected Points_Sp. Tms
53,4,Sun,October 11,,W,False,2-1,True,Columbus Tigers,19.0,9.0,,,,,,,,,,,1925,,,
54,5,Sun,October 18,,W,False,3-1,True,Kansas City Cowboys,20.0,7.0,,,,,,,,,,,1925,,,
55,6,Sun,October 25,,W,False,4-1,True,Chicago Bears,9.0,0.0,,,,,,,,,,,1925,,,
56,7,Sun,November 1,,W,False,5-1,True,Duluth Kelleys,10.0,6.0,,,,,,,,,,,1925,,,
57,8,Sun,November 8,,W,False,6-1,True,Green Bay Packers,9.0,6.0,,,,,,,,,,,1925,,,
58,9,Sun,November 15,,W,False,7-1,True,Buffalo Bisons,23.0,6.0,,,,,,,,,,,1925,,,
59,10,Sun,November 22,,W,False,8-1,True,Dayton Triangles,14.0,0.0,,,,,,,,,,,1925,,,
60,11,Thu,November 26,,T,False,8-1-1,False,Chicago Bears,0.0,0.0,,,,,,,,,,,1925,,,
61,11,Sun,November 29,,W,False,9-1-1,True,Rock Island Independents,7.0,0.0,,,,,,,,,,,1925,,,
62,12,Sun,December 6,,L,False,9-2-1,True,Pottsville Maroons,7.0,21.0,,,,,,,,,,,1925,,,
63,13,Thu,December 10,,W,False,10-2-1,True,Milwaukee Badgers,59.0,0.0,,,,,,,,,,,1925,,,
64,13,Sat,December 12,,W,False,11-2-1,True,Hammond Pros,13.0,0.0,,,,,,,,,,,1925,,,
65,1,Sun,September 19,,W,False,1-0,True,Columbus Tigers,14.0,0.0,,,,,,,,,,,1926,,,
66,2,Sun,September 26,,W,False,2-0,True,Los Angeles Buccaneers,15.0,0.0,,,,,,,,,,,1926,,,
67,3,Sun,October 3,,W,False,3-0,True,Racine Tornadoes,20.0,0.0,,,,,,,,,,,1926,,,
68,4,Sun,October 10,,W,False,4-0,False,Green Bay Packers,13.0,7.0,,,,,,,,,,,1926,,,
69,5,Sun,October 17,,L,False,4-1,True,Chicago Bears,0.0,16.0,,,,,,,,,,,1926,,,
70,6,Sun,October 24,,W,False,5-1,False,Milwaukee Badgers,3.0,2.0,,,,,,,,,,,1926,,,
71,7,Sun,October 31,,L,False,5-2,True,Green Bay Packers,0.0,3.0,,,,,,,,,,,1926,,,
72,8,Sat,November 6,,L,False,5-3,False,Frankford Yellow Jackets,7.0,33.0,,,,,,,,,,,1926,,,
73,8,Sun,November 7,,L,False,5-4,False,New York Giants,0.0,20.0,,,,,,,,,,,1926,,,
74,9,Thu,November 11,,L,False,5-5,False,Chicago Bears,0.0,10.0,,,,,,,,,,,1926,,,
75,11,Thu,November 25,,T,False,5-5-1,False,Chicago Bears,0.0,0.0,,,,,,,,,,,1926,,,
76,11,Sun,November 28,,L,False,5-6-1,True,Kansas City Cowboys,2.0,7.0,,,,,,,,,,,1926,,,
77,2,Sun,September 25,,L,False,0-1,True,Chicago Bears,0.0,9.0,,,,,,,,,,,1927,,,
78,3,Sun,October 2,,W,False,1-1,True,Pottsville Maroons,19.0,7.0,,,,,,,,,,,1927,,,
79,4,Sun,October 9,,W,False,2-1,True,Dayton Triangles,7.0,0.0,,,,,,,,,,,1927,,,
80,5,Sun,October 16,,L,False,2-2,False,Green Bay Packers,0.0,13.0,,,,,,,,,,,1927,,,
81,7,Sun,October 30,,L,False,2-3,True,New York Yankees,6.0,7.0,,,,,,,,,,,1927,,,
82,8,Sun,November 6,,T,False,2-3-1,True,Green Bay Packers,6.0,6.0,,,,,,,,,,,1927,,,
83,9,Sun,November 13,,L,False,2-4-1,False,New York Yankees,6.0,20.0,,,,,,,,,,,1927,,,
84,10,Sat,November 19,,L,False,2-5-1,False,Frankford Yellow Jackets,8.0,12.0,,,,,,,,,,,1927,,,
85,10,Sun,November 20,,L,False,2-6-1,False,New York Giants,7.0,28.0,,,,,,,,,,,1927,,,
86,11,Thu,November 24,,W,False,3-6-1,False,Chicago Bears,3.0,0.0,,,,,,,,,,,1927,,,
87,11,Sun,November 27,,L,False,3-7-1,True,Cleveland Bulldogs,7.0,32.0,,,,,,,,,,,1927,,,
88,1,Sun,September 23,,L,False,0-1,True,Chicago Bears,0.0,15.0,,,,,,,,,,,1928,,,
89,3,Sun,October 7,,W,False,1-1,True,Dayton Triangles,7.0,0.0,,,,,,,,,,,1928,,,
90,4,Sun,October 14,,L,False,1-2,False,Green Bay Packers,0.0,20.0,,,,,,,,,,,1928,,,
91,10,Sat,November 24,,L,False,1-3,False,Frankford Yellow Jackets,0.0,19.0,,,,,,,,,,,1928,,,
92,10,Sun,November 25,,L,False,1-4,False,New York Yankees,0.0,19.0,,,,,,,,,,,1928,,,
93,11,Thu,November 29,,L,False,1-5,False,Chicago Bears,0.0,34.0,,,,,,,,,,,1928,,,
94,2,Sun,September 29,,W,False,1-0,False,Buffalo Bisons,9.0,3.0,,,,,,,,,,,1929,,,
95,3,Sun,October 6,,L,False,1-1,False,Green Bay Packers,2.0,9.0,,,,,,,,,,,1929,,,
96,4,Sun,October 13,,L,False,1-2,False,Minneapolis Red Jackets,7.0,14.0,,,,,,,,,,,1929,,,
97,5,Sun,October 20,,T,False,1-2-1,False,Chicago Bears,0.0,0.0,,,,,,,,,,,1929,,,
98,6,Sun,October 27,,L,False,1-3-1,True,Green Bay Packers,6.0,7.0,,,,,,,,,,,1929,,,
99,7,Sat,November 2,,L,False,1-4-1,False,Frankford Yellow Jackets,0.0,8.0,,,,,,,,,,,1929,,,
100,7,Wed,November 6,,W,False,2-4-1,False,Providence Steam Roller,16.0,0.0,,,,,,,,,,,1929,,,
101,8,Sun,November 10,,W,False,3-4-1,True,Minneapolis Red Jackets,8.0,0.0,,,,,,,,,,,1929,,,
102,9,Sun,November 17,,L,False,3-5-1,True,Green Bay Packers,0.0,12.0,,,,,,,,,,,1929,,,
103,10,Sun,November 24,,W,False,4-5-1,True,Dayton Triangles,19.0,0.0,,,,,,,,,,,1929,,,
104,11,Thu,November 28,,W,False,5-5-1,False,Chicago Bears,40.0,6.0,,,,,,,,,,,1929,,,
105,11,Sun,December 1,,L,False,5-6-1,False,New York Giants,21.0,24.0,,,,,,,,,,,1929,,,
106,12,Sun,December 8,,W,False,6-6-1,False,Orange Tornadoes,26.0,0.0,,,,,,,,,,,1929,,,
107,2,Sun,September 21,,L,False,0-1,False,Green Bay Packers,0.0,14.0,,,,,,,,,,,1930,,,
108,3,Sun,September 28,,T,False,0-1-1,False,Minneapolis Red Jackets,7.0,7.0,,,,,,,,,,,1930,,,
109,4,Sun,October 5,,T,False,0-1-2,False,Portsmouth Spartans,0.0,0.0,,,,,,,,,,,1930,,,
110,4,Wed,October 8,,W,False,1-1-2,False,Newark Tornadoes,13.0,0.0,,,,,,,,,,,1930,,,
111,5,Sun,October 12,,L,False,1-2-2,False,Providence Steam Roller,7.0,9.0,,,,,,,,,,,1930,,,
112,6,Thu,October 16,,L,False,1-3-2,False,New York Giants,12.0,25.0,,,,,,,,,,,1930,,,
113,6,Sun,October 19,,L,False,1-4-2,True,Chicago Bears,6.0,32.0,,,,,,,,,,,1930,,,
114,7,Sat,October 25,,W,False,2-4-2,False,Frankford Yellow Jackets,34.0,7.0,,,,,,,,,,,1930,,,
115,7,Sun,October 26,,W,False,3-4-2,True,Portsmouth Spartans,23.0,13.0,,,,,,,,,,,1930,,,
116,8,Sun,November 2,,W,False,4-4-2,True,Frankford Yellow Jackets,6.0,0.0,,,,,,,,,,,1930,,,
117,9,Sun,November 9,,L,False,4-5-2,True,New York Giants,7.0,13.0,,,,,,,,,,,1930,,,
118,10,Sun,November 16,,W,False,5-5-2,True,Green Bay Packers,13.0,6.0,,,,,,,,,,,1930,,,
119,12,Thu,November 27,,L,False,5-6-2,False,Chicago Bears,0.0,6.0,,,,,,,,,,,1930,,,
120,2,Wed,September 23,,L,False,0-1,False,Portsmouth Spartans,3.0,13.0,,,,,,,,,,,1931,,,
121,5,Sun,October 11,,L,False,0-2,False,Green Bay Packers,7.0,26.0,,,,,,,,,,,1931,,,
122,6,Sun,October 18,,L,False,0-3,False,Chicago Bears,13.0,26.0,,,,,,,,,,,1931,,,
123,8,Sun,November 1,,W,False,1-3,False,Brooklyn Dodgers,14.0,7.0,,,,,,,,,,,1931,,,
124,9,Sun,November 8,,W,False,2-3,False,Cleveland Indians,14.0,6.0,,,,,,,,,,,1931,,,
125,10,Sun,November 15,,W,False,3-3,True,Green Bay Packers,21.0,13.0,,,,,,,,,,,1931,,,
126,11,Sun,November 22,,W,False,4-3,True,Portsmouth Spartans,20.0,19.0,,,,,,,,,,,1931,,,
127,12,Thu,November 26,,L,False,4-4,False,Chicago Bears,7.0,18.0,,,,,,,,,,,1931,,,
128,12,Sat,November 28,,W,False,5-4,True,Cleveland Indians,21.0,0.0,,,,,,,,,,,1931,,,
129,1,Sun,September 18,,L,False,0-1,False,Green Bay Packers,7.0,15.0,,,,,,,,,,,1932,,,
130,3,Sun,October 2,,T,False,0-1-1,False,Portsmouth Spartans,7.0,7.0,,,,,,,,,,,1932,,,
131,4,Sun,October 9,,T,False,0-1-2,True,Chicago Bears,0.0,0.0,,,,,,,,,,,1932,,,
132,5,Sun,October 16,,W,False,1-1-2,False,Boston Braves,9.0,0.0,,,,,,,,,,,1932,,,
133,7,Sun,October 30,,W,False,2-1-2,True,Brooklyn Dodgers,27.0,7.0,,,,,,,,,,,1932,,,
134,8,Sun,November 6,,L,False,2-2-2,True,Green Bay Packers,9.0,19.0,,,,,,,,,,,1932,,,
135,9,Sun,November 13,,L,False,2-3-2,False,Brooklyn Dodgers,0.0,3.0,,,,,,,,,,,1932,,,
136,10,Sun,November 20,,L,False,2-4-2,False,Staten Island Stapletons,7.0,21.0,,,,,,,,,,,1932,,,
137,11,Thu,November 24,,L,False,2-5-2,False,Chicago Bears,0.0,34.0,,,,,,,,,,,1932,,,
138,11,Sun,November 27,,L,False,2-6-2,True,Boston Braves,6.0,8.0,,,,,,,,,,,1932,,,
139,2,Wed,September 27,,L,False,0-1,False,Pittsburgh Pirates,13.0,14.0,,,,,,,,,,,1933,,,
140,3,Sun,October 1,,L,False,0-2,False,Portsmouth Spartans,6.0,7.0,,,,,,,,,,,1933,,,
141,4,Sun,October 8,,W,False,1-2,False,Cincinnati Reds,3.0,0.0,,,,,,,,,,,1933,,,
142,5,Sun,October 15,,L,False,1-3,False,Chicago Bears,9.0,12.0,,,,,,,,,,,1933,,,
