Player,09/13vs. LVR,09/19vs. KAN
Rashod Bateman,,
Miles Boykin,,
Nick Boyle,,
Marquise Brown,,Q
J.K. Dobbins,,
Khalil Dorsey,,
Devin Duvernay,,Q
Gus Edwards,,
L.J. Fort,,
Daelin Hayes,Q,Q
Marlon Humphrey,,Q
Xavier Kelly,,
Marcus Peters,,
Tyre Phillips,,
Jimmy Smith,Q,Q
Ronnie Stanley,,Q
Chris Westry,,
Derek Wolfe,O,O
