Player,09/07vs. CIN,09/11vs. PIT,09/21vs. CLE,09/28vs. CAR,10/05vs. IND,10/12vs. TAM,10/19vs. ATL,10/26vs. CIN,11/02vs. PIT,11/09vs. TEN,11/24vs. NOR,11/30vs. SDG,12/07vs. MIA,12/14vs. JAX,12/21vs. HOU,12/28vs. CLE,01/03vs. PIT,01/10vs. NWE
Kamar Aiken,,,,,,,P,,,,,,,,,,,
Christo Bilukidi,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Terrence Brooks,,,,,,,,,,,,,,,IR,IR,IR,IR
Arthur Brown,,,,,,,,,,,,,,,,,Q,IR
Chykie Brown,,,,,P,,,,,,,,,,,,,
Marlon Brown,,,,,,D,O,,,,,,P,,,,,
Jeremy Butler,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Michael Campanaro,,,,,,,,,O,O,O,O,O,,,,,
Chris Canty,,,,Q,Q,O,O,O,P,,,,,,Q,O,P,
Terrence Cody,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,O,Q,,,,,,,
Morgan Cox,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Owen Daniels,,,,,,,,O,D,,,,,,,,,
Matt Elam,,,,,,P,,,,,,,,,,,,
Joe Flacco,,,P,,,,,,,,,,,,,,,
Justin Forsett,,,,,,,,,P,,,,P,,,Q,,
Crockett Gillmore,,,,,,,,,,,,,O,Q,,,,
Danny Gorrer,,,,,,,,,,,,,,IR,IR,IR,IR,IR
Will Hill,S,S,S,S,S,S,P,,,,,,,,,,,
Asa Jackson,,,P,,,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR
Tramain Jacobs,,,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Timmy Jernigan,,,D,O,D,O,P,,,,,,,,,D,O,Q
Jacoby Jones,,,,,,,,,,,,,,,P,,,
Kyle Juszczyk,,,,,,,,,,,P,,,,,,,
Anthony Levine,,,,,,,,,,,,,,P,P,,,
Kapron Lewis-Moore,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Albert McClellan,,,,,,,,,,,,,Q,,,,,
Kevin McDermott,,,,,,,,,,,,,,,IR,IR,IR,IR
Pernell McPhee,,,,,,,,,,,,P,,,,,,
Eugene Monroe,,,P,O,O,O,D,P,,,,,,,,D,O,Q
C.J. Mosley,,,,,,,,,,,,,P,,,,,
Haloti Ngata,,,,,,,,,P,,,,S,S,O,O,P,
Kelechi Osemele,,,,,,O,D,P,,,,,,,,,,
Bernard Pierce,P,,O,P,P,,,,,,,,,,P,,,
Dennis Pitta,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Will Rackley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jah Reid,,,,,,,,,,O,O,O,,IR,IR,IR,IR,IR
Ray Rice,S,S,,,,,,,,,,,,,,,,
Aaron Ross,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Daryl Smith,,,,,,P,,,,,,,,,,,,
Jimmy Smith,P,,,P,,,,,O,O,IR,IR,IR,IR,IR,IR,IR,IR
Torrey Smith,,,,,,,,,,,,,P,P,,,,
Terrell Suggs,,,,P,Q,,,,P,,,P,,,,Q,,
Phillip Supernaw,,,,,O,,,,,,,,,,,,,
Lorenzo Taliaferro,,,,,,,,,,,,,,O,IR,IR,IR,IR
Fitzgerald Toussaint,,,,,,,,,,,,,,,,Q,,
Courtney Upshaw,,,,,,,,,,,,,P,,,,,
Brent Urban,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ricky Wagner,,,,,,,,,,,,,,,,IR,IR,IR
Lardarius Webb,P,O,P,,,,,,,,,,,,,,,
Marshal Yanda,,P,,,,,,,Q,P,P,,,,,,,
Jeremy Zuttah,,,,,,P,,,,P,,,P,,,,,
