Player,09/12vs. DET,09/19vs. PHI
Arik Armstead,,Q
Kevin Givens,Q,
Dre Greenlaw,,O
Davontae Harris,,
Marcell Harris,,Q
Jalen Hurd,O,
Maurice Hurst Jr.,,
Tony Jefferson,,
Javon Kinlaw,D,Q
Emmanuel Moseley,D,D
Raheem Mostert,,
Justin Skule,,
Jason Verrett,,
