Player,09/08vs. TAM,09/15vs. CIN,09/22vs. PIT,10/07vs. CLE,10/13vs. LAR,10/20vs. WAS,10/27vs. CAR,10/31vs. ARI,11/11vs. SEA,11/17vs. ARI,11/24vs. GNB,12/01vs. BAL,12/08vs. NOR,12/15vs. ATL,12/21vs. LAR,12/29vs. SEA,01/11vs. MIN,01/19vs. GNB,02/02vs. KAN
Azeez Al-Shaair,,,,,,,,,,O,,,,,,,,,
Kwon Alexander,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Ronald Blair,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Nick Bosa,Q,Q,Q,,,,,,,,,,,,,,,,
Matt Breida,,,,,,,,Q,,D,D,Q,,,,,,,
Garrett Celek,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,IR,IR,IR,IR,IR,IR
Adrian Colbert,IR,,,,,,,,,,,,,,,,,,
Shon Coleman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tevin Coleman,,O,O,Q,,,,,,,,,,,,,,,
Chris Edwards,,,,,,,,,,,,,,,,,/,/,/
Dee Ford,,,Q,Q,,,,,,,O,O,,O,O,O,Q,,
Marquise Goodwin,,,,,,,Q,,,,,,Q,IR,IR,IR,IR,IR,IR
Robbie Gould,,,,,,,,,D,D,D,,,,,,,,
Tim Harris,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Willie Henry,,,,,,,,,,,,,,,,,,,/
Jalen Hurd,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
D.J. Jones,,,,,,O,,,,O,,,,O,IR,IR,IR,IR,IR
Kyle Juszczyk,,,,,O,O,O,O,,,,,,,,,,,
Derrick Kindred,,,,,,,,,,,,,,,,,/,/,/
George Kittle,,,,,Q,,,,D,D,Q,,,,,,,,
Jonathan Kongbo,,,,,,,,,,,,,,,,,/,/,/
Andrew Lauderdale,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mike McGlinchey,,,,,O,O,O,O,Q,,,,,,,,,,
Jerick McKinnon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Damontre Moore,,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Raheem Mostert,,,,,,Q,Q,Q,Q,Q,,,,,,,,,
Michael Person,,,,,,,,,,,,,,,Q,Q,,,
Dante Pettis,,,,,,,,,,Q,,O,Q,,,,,,
Shawn Poindexter,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Weston Richburg,Q,,,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Deebo Samuel,,,,,,O,,,,,Q,,,,,,,,
Emmanuel Sanders,,,,,,,,,,Q,Q,,,,,,,,
Richard Sherman,,,,,,,,,,,,,,O,,,,,
Joe Staley,,,O,O,O,O,D,D,Q,O,O,Q,Q,,,,,,
Kentavius Street,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,IR
Jaquiski Tartt,,,Q,,,,,,,,,,O,O,O,D,,,
Jullian Taylor,,,,,,,,,,,,,O,O,O,O,IR,IR,IR
Trent Taylor,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Levine Toilolo,,,,,,,Q,Q,,,,,,,,,,,
Jason Verrett,Q,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jimmie Ward,O,Q,Q,,,,,,,,,,,,,,,,
Leonard Wester,,,,,,,,,,,,,,,,,,/,/
K'Waun Williams,Q,,,,,,,,,,,,,O,,,,,
Nick Williams,IR,,,,,,,,,,,,,,,,,,
Ahkello Witherspoon,,,,O,O,O,O,O,Q,Q,,,,,,,,,
