Player,09/10vs. CAR,09/17vs. SEA,09/21vs. LAR,10/01vs. ARI,10/08vs. IND,10/15vs. WAS,10/22vs. DAL,10/29vs. PHI,11/05vs. ARI,11/12vs. NYG,11/26vs. SEA,12/03vs. CHI,12/10vs. HOU,12/17vs. TEN,12/24vs. JAX,12/31vs. LAR
Arik Armstead,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ray-Ray Armstrong,,,,,,,Q,,,,,,,,,
Ronald Blair,IR,IR,IR,IR,IR,IR,IR,IR,,,,,IR,IR,,
Victor Bolden,,,,,,,,,,,,,,IR,IR,IR
Trent Brown,,,,,,,,Q,,,Q,Q,IR,O,IR,IR
Aaron Burbridge,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tank Carradine,,,,IR,IR,IR,IR,IR,IR,IR,,IR,,,,
Garrett Celek,,,,,,,,,,,,,,,Q,
Adrian Colbert,,,,,O,Q,,,,,O,Q,,,,
Brock Coyle,,,,Q,,,Q,,,,,,,,,
Jayson DiManche,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Reuben Foster,,O,O,O,O,Q,Q,Q,Q,,,,,,,
Brandon Fusco,,,,,,,,Q,,,,,,,,
Pierre Garcon,,,,,,,,,O,IR,IR,IR,IR,IR,IR,IR
Joshua Garnett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jimmie Gilbert,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Garry Gilliam,,,,,,,,,O,IR,IR,IR,IR,IR,IR,IR
Marquise Goodwin,,,,,Q,,,Q,,,,,,,,
Eli Harold,,,Q,,,,,,,,,,,,,
Cole Hikutini,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Carlos Hyde,,,,Q,,,,,,,,,,,,
Asa Jackson,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chanceller James,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
BJ Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Jones,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
D.J. Jones,,,,,,,,,O,,,,,,,
Don Jones,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kyle Juszczyk,,,,Q,,O,O,,,,,,,,,
George Kittle,,,Q,,,,,,,O,,,,,,
Elijah Lee,,,,,,,,,,O,,,,,,
Aaron Lynch,Q,,,,,,O,O,O,O,,,,,,
Greg Mabin,,,,,,,,,,,,,,Q,D,
Erik Magnuson,,,,,,,,,,,,IR,IR,IR,IR,IR
Raheem Mostert,,,,,,,,,,,Q,IR,IR,IR,IR,IR
Donavin Newsom,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Eric Reid,,,O,O,O,Q,,,,,,,,,,
Malcolm Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Joe Staley,,,,,,,,,O,,,,,,,
Jaquiski Tartt,,,Q,Q,,,,,,IR,IR,IR,IR,IR,IR,IR
Pita Taumoepenu,,,,Q,,,,,,,,,,,,
Trent Taylor,,,,,,,,,,O,Q,,,,,
Solomon Thomas,,,,,,,,,O,Q,Q,,,,,
Jimmie Ward,D,Q,Q,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Dekoda Watson,,,,,O,Q,Q,,,,,,,,,
Joe Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
K'Waun Williams,,,,,,,,O,O,Q,,,,,,
