Player,09/12vs. ARI,09/19vs. SEA
B.J. Bello,,
Jayon Brown,,Q
Trevon Coley,,
Bud Dupree,,Q
Darrynton Evans,,
Caleb Farley,,O
Sam Ficken,Q,
Anthony Firkser,,Q
Cody Hollister,,
Amani Hooker,,
Tommy Hudson,O,
Chris Jackson,Q,
Marcus Johnson,,
Brandon Kemp,,
David Long,O,Q
Tucker McCann,,
Briley Moore-McKinney,,
Daniel Munyer,,
Brent Qvale,,
Josh Reynolds,Q,
