Player,09/04vs. GNB,09/14vs. SDG,09/21vs. DEN,10/06vs. WAS,10/12vs. DAL,10/19vs. STL,10/26vs. CAR,11/02vs. OAK,11/09vs. NYG,11/16vs. KAN,11/23vs. ARI,11/27vs. SFO,12/07vs. PHI,12/14vs. SFO,12/21vs. ARI,12/28vs. STL,01/10vs. CAR,01/18vs. GNB,02/01vs. NWE
Alvin Bailey,,,,O,D,P,,,,,,,,,,,,,
Doug Baldwin,,,,,,,,,P,,,,,,,,,,
Michael Bennett,,,,,,,P,P,P,,,,P,,,,,,
Justin Britt,,,,,,,,,,,,,,,,,,O,P
Marcus Burley,,,,,,,,,Q,D,O,P,,,,,,,
James Carpenter,,,,,,,,,D,D,O,P,,,,,,,
Kam Chancellor,,,P,,Q,,P,O,D,P,,,,,,,,,P
Derrick Coleman,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brock Coyle,,,,,,,,,,D,P,,,,,,,,
C.J. Davis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Demarcus Dobbs,,,,,,,,,,,D,Q,D,O,D,O,P,,
Heath Farwell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Percy Harvin,P,,,,P,Q,,,,,,,,,,,,,
Cooper Helfet,O,D,P,,,,,,,P,,O,D,O,P,O,P,,
Jordan Hill,,,,,,Q,O,O,P,,,,,,,,IR,IR,IR
Bruce Irvin,P,,O,P,,,,,,,,,,,,,,,
Lemuel Jeanpierre,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
A.J. Jefferson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jeron Johnson,,,,,,,,O,P,,,,,,,,O,O,
Jermaine Kearse,,,,,,,,,,,,P,,,,O,P,,
Jeremy Lane,P,IR,IR,IR,IR,IR,IR,IR,IR,Q,,O,O,P,,,,,
Marshawn Lynch,,,P,,,,,,P,P,P,P,P,P,P,P,P,,P
Cassius Marsh,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Matthews,,,,,,,,,,,,,,,,Q,,,
Byron Maxwell,,,,,,O,O,O,Q,,P,,P,,,,,,
Anthony McCoy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tony McDaniel,,,,,,,,,,,,,,,,,,P,
Brandon Mebane,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Christine Michael,D,O,O,,,,,,,,,,,,,,,,
Zach Miller,,,P,O,O,O,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tony Moeaki,,,,,,,,,,,,,,,D,P,O,P,
Mike Morgan,,,P,,,,,,,,,,,,,,,,
Kevin Norwood,O,Q,,,,,,,,,,,,,,,,,
Russell Okung,,,,,,,,O,,,,,,,O,P,,,
Kevin Pierre-Louis,O,O,P,,,,,,,,O,O,IR,IR,IR,IR,IR,IR,IR
Eric Pinkins,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Taylor Price,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Paul Richardson,,,,,,,,,,,,,,,P,,,IR,IR
Stephen Schilling,,,,,,Q,,Q,D,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
O'Brien Schofield,,,,,,,,,P,,,,,,,,,,
Greg Scruggs,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
DeShawn Shead,,,,P,,,,,,,,,,,,,,,
Richard Sherman,,,,,,,,P,,,,,,,,,,,P
Tharold Simon,O,O,O,O,O,P,P,P,,,,,,,,O,P,P,
D'Anthony Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Malcolm Smith,,,,,,,,O,D,P,,,,,,,,,
J.R. Sweezy,,,,,,,,,,,P,,,,P,,,,P
Earl Thomas,,Q,,,,,,,,,,,,,,,,,P
Robert Turbin,,,,,,,P,,,,,,,,,,,,
Max Unger,,,,,D,O,O,O,P,,O,O,O,D,D,O,P,P,
Bobby Wagner,,,,,,O,O,O,O,O,P,,,,,,,,
Bryan Walters,,,,,,,O,P,,,,,,,,,,,
Luke Willson,,,,,,O,P,,,Q,,,,,,,,,
K.J. Wright,,,,,,,,,,,,,,,,,Q,,
