Player,09/13vs. BUF,09/21vs. NYJ,09/27vs. TEN,10/04vs. JAX,10/08vs. HOU,10/18vs. NWE,10/25vs. NOR,11/02vs. CAR,11/08vs. DEN,11/22vs. ATL,11/29vs. TAM,12/06vs. PIT,12/13vs. JAX,12/20vs. HOU,12/27vs. MIA,01/03vs. TEN
Mike Adams,,,,,Q,,O,P,,O,D,P,,,,P
Daniel Adongo,,,,,,,,,,,,,O,,,
Dwayne Allen,,,O,Q,P,,,,,,,,,,,IR
Colt Anderson,,,,,,,,,,,,,Q,O,Q,Q
Henry Anderson,,,,,Q,,,,,IR,IR,IR,IR,IR,IR,IR
Vick Ballard,O,,,,,,,,,,,,,,,
Ahmad Bradshaw,,,,,,,,,,,,IR,IR,IR,IR,IR
Jalil Brown,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Darius Butler,,O,O,P,,,,,P,,,,,,,P
Anthony Castonzo,,,,,,,,,,,O,O,O,P,,
Trent Cole,,,Q,P,,P,,,,,,,,,,O
Vontae Davis,,,Q,P,Q,,,,,,P,P,,P,,
Phillip Dorsett,,,,,,,,O,O,O,O,O,P,,,
Jack Doyle,,,,,,,,,,,,,,P,P,P
Jerrell Freeman,,,,,O,Q,P,,,,P,O,O,P,P,P
Clayton Geathers,,,,,,,D,P,,,,,,,,
Frank Gore,,,,,P,,,,,,P,,,,,
Winston Guy,,,,,,,,D,P,,,,,,O,Q
Matt Hasselbeck,,,,,Q,,,,,,,,P,P,P,O
Todd Herremans,,P,,,,,,,,,,,,,,
Dan Herron,IR,IR,IR,IR,IR,,,IR,IR,IR,,,,,,
T.Y. Hilton,,Q,,P,,P,,,Q,,,,,,,P
Khaled Holmes,,,,,,,,O,P,,,Q,Q,,,
Nate Irving,P,,,,,Q,P,O,O,P,,,IR,IR,IR,IR
D'Qwell Jackson,P,P,P,P,,,,,,P,,P,Q,P,P,
Andre Johnson,,,P,P,,,,,,,,,,,,
Arthur Jones,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kendall Langford,,,,,P,,,,,,,,,,,
Lance Louis,,,P,,,,,,,,,,,,,
Andrew Luck,,,,Q,Q,Q,,,P,O,O,O,O,O,O,O
Robert Mathis,Q,Q,P,P,,,,,,,,,,,,
Josh McNary,,,,,,,,,,Q,,,,,IR,IR
Jack Mewhort,,,,,,,,,,,,,,,,P
Tevin Mitchel,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Donte Moncrief,,,,,,,,,,,,,,Q,Q,P
Sio Moore,,,,,,,,,,,P,,,,,Q
Jonathan Newsome,,Q,P,,,,,,,,,,,,,
Sheldon Price,P,,Q,,,,,,,,,,,,,
Josh Robinson,,,,P,,,,,,,,,,,,
D'Joun Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,,P,,,O,IR,IR
Hugh Thornton,,,,P,,,,,,,P,O,P,P,,
Greg Toler,O,O,O,O,P,,,,,,Q,P,Q,Q,,
Tyler Varga,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Erik Walden,,,,,,,,,,,Q,P,D,P,P,P
Bjoern Werner,P,P,P,P,O,P,,,,,,,,,,
Griff Whalen,,,,,,,,,,,,,P,,IR,IR
Charlie Whitehurst,,,,,,,,,,,,,,,,IR
Billy Winn,,,,,,P,,,,,,,,,IR,IR
