Player,09/08vs. LAC,09/15vs. TEN,09/22vs. ATL,09/29vs. OAK,10/06vs. KAN,10/20vs. HOU,10/27vs. DEN,11/03vs. PIT,11/10vs. MIA,11/17vs. JAX,11/21vs. HOU,12/01vs. TEN,12/08vs. TAM,12/16vs. NOR,12/22vs. CAR,12/29vs. JAX
Mo Alie-Cox,,,,,,,,,,Q,Q,Q,,,,
Denico Autry,,,,,,,,,,,,,,,O,D
Jacoby Brissett,,,,,,,,,Q,,,,,,,
Billy Brown,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Parris Campbell,,,,,O,O,Q,,O,O,O,Q,,IR,IR,IR
Carl Davis,,,,,,,O,,,,,,,,,
Pierre Desir,,,,Q,,Q,Q,D,Q,D,,,,Q,,
Jack Doyle,,,,,,,Q,,,,,,,,,
Eric Ebron,,,,,,,,,,,Q,IR,IR,IR,IR,IR
Daurice Fountain,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Devin Funchess,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Clayton Geathers,,,,,O,,,,,,,,,,,
Penny Hart,IR,,,,,,,,,,,,,,,
T.Y. Hilton,,,Q,D,Q,,,O,O,O,Q,O,O,Q,,
Malik Hooker,,,,O,O,D,,Q,,,,,Q,,Q,
Justin Houston,,,,,,Q,,Q,,,,,,,,
Steve Ishmael,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Iseoluwapo Jegede,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Isaiah Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marcus Johnson,IR,IR,,,,,,,,,,,,,,
Darius Leonard,,,O,O,O,,,,,,,,,,,
Tyquan Lewis,,,,O,O,O,Q,,,,,,,,,
Marlon Mack,,,Q,,Q,,,,,,O,O,,,,
Rolan Milligan,,,,,Q,,,,,,,,,,IR,IR
Kenny Moore,,,,,,O,Q,,,,,,O,O,O,Q
Al-Quadin Muhammad,,,,Q,,,,,,,,,,,,Q
Kai Nacua,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Quenton Nelson,,,,,,Q,,,,,,,,,,
Javon Patterson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chester Rogers,,,,,,,,,,,,,IR,IR,IR,IR
Jabaal Sheard,O,O,O,Q,,,,,,,,,,,,
Shakial Taylor,IR,,,,,,,,,,O,,,,,
Ahmad Thomas,IR,IR,,,,,,,,,,,,,,
Kemoko Turay,Q,D,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Adam Vinatieri,,,,,,,,,,,,,O,IR,IR,IR
Anthony Walker,,,,,Q,,,,,,,,,,,
Spencer Ware,PUP,PUP,PUP,,,,,,,,,,,,,
Jordan Wilkins,Q,,,,,,,,,Q,,,,,,O
Jonathan Williams,O,O,Q,,,,,,,,,,,,,
Khari Willis,,,,,,,,,,,O,Q,,,,D
Quincy Wilson,,,,,,,,,Q,,,,,,O,O
Rock Ya-Sin,,,,,Q,,,,,,Q,Q,Q,,,
